event_id,row_id,acq_date,acq_time,acq_datetime,daynight,latitude,longitude,satellite,instrument,firms_confidence,frp,brightness,bright_t31,brightness_difference,is_day,is_stubble_burning_season,grid_detection_count,grid_active_days,persistent_location_flag,grid_total_frp,high_frp_flag_local,brightness_zscore_local,predicted_class,probability_agricultural_burning,probability_industrial_thermal_activity,probability_natural_wildfire_other,max_probability,ml_confidence,osm_coverage_status,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,distance_to_facility_m,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,nearest_hr_category,nearest_hr_name,distance_to_higher_relevance_m,landcover_code,landcover_class,pre_observation_status,post_observation_status,s2_change_status,selected_pre_image_date,selected_post_image_date,s2_pre_feature_status,s2_post_feature_status,s2_pre_ndvi_mean,s2_post_ndvi_mean,s2_dnbr_mean,has_human_validation,human_validation_status,human_ground_truth_class,is_unambiguous_ground_truth,inference_timestamp,model_version,model_sha256,data_source_version
FIRMS_TN_0000,0,2024-11-01,1940,2024-11-01T19:00,N,11.65394,78.02792,N20,VIIRS,n,1.16,311.1,287.43,23.670000000000016,0,1,2,1,0,2.46,0,-0.4622382024171344,Industrial Thermal Activity,0.4331,0.5031,0.0639,0.5031,MEDIUM,COVERED,SAIL,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,328.3336921461477,1,1,1,Steel / Metallurgy,Salem Steel Plant,458.26871305300216,50,Built-up,REAL_CDSE_SUCCESS,MISSING_PRODUCT,MISSING_POST,2024-10-29T05:08:39.024000Z,,SUCCESS,,0.620062574826448,,,False,UNREVIEWED,,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0001,1,2024-11-02,826,2024-11-02T08:00,D,9.29417,79.06924,N20,VIIRS,n,5.15,338.83,289.06,49.76999999999998,1,1,2,1,0,10.56,0,1.3358056330597607,Agricultural Burning,0.6951,0.1602,0.1447,0.6951,MEDIUM,COVERED,,Power Plant,Power Plant,HIGHER_RELEVANCE,2826.685458137604,0,0,0,Power Plant,,2826.685458137604,10,Tree cover,CLOUD_REJECTED,REAL_CDSE_SUCCESS,INSUFFICIENT_VALID_DATA,2024-10-31T04:59:41.024000Z,2024-11-05T04:59:09.024000Z,SUCCESS,SUCCESS,0.2516461318155794,0.3329496050349869,,True,VERIFIED,REVIEW_REQUIRED,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0002,2,2024-11-03,807,2024-11-03T08:00,D,10.26853,78.83812,N20,VIIRS,n,2.77,331.76,298.6,33.15999999999997,1,1,1,1,0,2.77,0,0.8773790222836463,Natural / Wildfire / Other,0.1798,0.0157,0.8045,0.8045,HIGH,COVERED,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,9090.553073033305,0,0,0,Manufacturing & Industrial Works,Nizam Supari Factory,12285.075261562197,20,Shrubland,CLOUD_REJECTED,CLOUD_REJECTED,MISSING_PRE,2024-10-29T05:08:39.024000Z,2024-11-05T04:59:09.024000Z,ALL_PIXELS_MASKED,SUCCESS,,0.4464472644173232,,False,UNREVIEWED,,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0003,3,2024-11-03,2042,2024-11-03T20:00,N,11.18232,79.09965,N20,VIIRS,n,1.14,304.79,290.01,14.78000000000003,0,1,20,10,1,18.59,0,-0.1905045439534421,Industrial Thermal Activity,0.0161,0.9839,0.0,0.9839,HIGH,COVERED,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,396.25434257551336,1,1,1,Power Plant,,706.4338230101368,50,Built-up,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,SUCCESS,2024-10-29T05:08:39.024000Z,2024-11-10T05:00:31.024000Z,SUCCESS,SUCCESS,0.4812084355977795,0.4642004871885042,0.032697785110561,False,UNREVIEWED,,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0004,4,2024-11-04,750,2024-11-04T07:00,D,13.20969,79.91416,N20,VIIRS,n,4.01,333.19,303.03,30.160000000000025,1,1,1,1,0,4.01,0,0.970101802115308,Agricultural Burning,0.6917,0.0,0.3083,0.6917,MEDIUM,FAILED_TILE,,Mining,Mining & Quarry,HIGHER_RELEVANCE,114898.83334131957,0,0,0,Mining & Quarry,,114898.83334131957,40,Cropland,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,SUCCESS,2024-10-31T04:59:41.024000Z,2024-11-05T04:59:09.024000Z,SUCCESS,SUCCESS,0.3935930117859602,0.4430892330208698,0.0229926579861179,True,VERIFIED,Agricultural Burning,True,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0005,5,2024-11-04,750,2024-11-04T07:00,D,12.2742,79.54851,N20,VIIRS,n,5.64,337.36,298.09,39.27000000000004,1,1,1,1,0,5.64,0,1.240489209037006,Agricultural Burning,0.8367,0.0193,0.1439,0.8367,HIGH,FAILED_TILE,Sree Amman Transformer Works,Industrial Works,Manufacturing & Industrial Works,HIGHER_RELEVANCE,15266.538267725924,0,0,0,Manufacturing & Industrial Works,Sree Amman Transformer Works,15266.538267725924,40,Cropland,REAL_CDSE_SUCCESS,CLOUD_REJECTED,INSUFFICIENT_VALID_DATA,2024-10-26T04:58:19.024000Z,2024-11-05T04:59:09.024000Z,SUCCESS,SUCCESS,0.5336351329683402,0.4568762217325056,,False,UNREVIEWED,,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0006,6,2024-11-04,750,2024-11-04T07:00,D,12.2748,79.55231,N20,VIIRS,n,5.52,338.19,297.67,40.51999999999998,1,1,1,1,0,5.52,0,1.294307326002235,Agricultural Burning,0.8559,0.0218,0.1223,0.8559,HIGH,FAILED_TILE,Sree Amman Transformer Works,Industrial Works,Manufacturing & Industrial Works,HIGHER_RELEVANCE,15175.128861239547,0,0,0,Manufacturing & Industrial Works,Sree Amman Transformer Works,15175.128861239547,40,Cropland,REAL_CDSE_SUCCESS,CLOUD_REJECTED,INSUFFICIENT_VALID_DATA,2024-10-26T04:58:19.024000Z,2024-11-05T04:59:09.024000Z,SUCCESS,SUCCESS,0.4943407506389803,0.445792379984189,,True,VERIFIED,Agricultural Burning,True,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0007,7,2024-11-04,2025,2024-11-04T20:00,N,11.18312,79.09965,N20,VIIRS,n,1.23,309.46,293.88,15.579999999999984,0,1,20,10,1,18.59,0,1.2691447099638882,Industrial Thermal Activity,0.0181,0.9619,0.02,0.9619,HIGH,COVERED,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,360.0193161722355,1,1,1,Power Plant,,658.7339708137059,50,Built-up,REAL_CDSE_SUCCESS,REAL_CDSE_SUCCESS,SUCCESS,2024-10-29T05:08:39.024000Z,2024-11-10T05:00:31.024000Z,SUCCESS,SUCCESS,0.4564661559605425,0.4392160772666253,0.0351123570106514,False,UNREVIEWED,,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0008,8,2024-11-04,2025,2024-11-04T20:00,N,11.81736,77.91756,N20,VIIRS,n,1.06,305.68,290.19,15.490000000000007,0,1,43,20,1,64.3,0,-0.4156983668999956,Industrial Thermal Activity,0.0031,0.9969,0.0,0.9969,HIGH,COVERED,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,215.91883199453267,1,1,1,Steel / Metallurgy,JSW Steel Plant,327.13180543896755,50,Built-up,CLOUD_REJECTED,MISSING_PRODUCT,MISSING_BOTH,2024-10-29T05:08:39.024000Z,,ALL_PIXELS_MASKED,,,,,False,UNREVIEWED,,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
FIRMS_TN_0009,9,2024-11-04,2025,2024-11-04T20:00,N,12.87509,79.88728,N20,VIIRS,n,1.03,309.2,293.36,15.839999999999977,0,1,4,2,0,3.84,0,-0.5854363014941689,Agricultural Burning,0.4042,0.2769,0.319,0.4042,LOW,FAILED_TILE,,Mining,Mining & Quarry,HIGHER_RELEVANCE,77708.51188730031,0,0,0,Mining & Quarry,,77708.51188730031,30,Grassland,CLOUD_REJECTED,CLOUD_REJECTED,INSUFFICIENT_VALID_DATA,2024-10-31T04:59:41.024000Z,2024-11-05T04:59:09.024000Z,SUCCESS,SUCCESS,0.4909681101631504,0.5998721628958493,,False,UNREVIEWED,,False,2026-09-06T17:19:14Z,phase_5_ml_handoff/final_model.joblib,5909bb546fc55aeffd37b7bb601e96718709fe685e987705b246bb2963279798,phase_4b_ground_truth_v1
