osm_id,osm_type,latitude,longitude,name,operator,normalized_category,relevance_tier,facility_type,source_tile,raw_tags
2388351719,node,9.096877,76.4891477,Amrita power substation,,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,Other Industrial,tile_1_1,"{""name"": ""Amrita power substation"", ""power"": ""substation""}"
2579035191,node,9.0467869,76.8536015,Brick Industry,,Generic Industrial Building,GENERAL_CONTEXT,Other Industrial,tile_1_1,"{""building"": ""industrial"", ""name"": ""Brick Industry""}"
2579035192,node,9.0437053,76.855493,Brick Industry,,Generic Industrial Building,GENERAL_CONTEXT,Other Industrial,tile_1_1,"{""building"": ""industrial"", ""name"": ""Brick Industry""}"
2579038240,node,9.0348868,76.8536999,Brick Industry,,Industrial Area / Zone,GENERAL_CONTEXT,Other Industrial,tile_1_1,"{""landuse"": ""industrial"", ""name"": ""Brick Industry""}"
3148284115,node,8.9819061,77.2301829,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_1_1,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
3148284162,node,8.9839045,77.2305607,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_1_1,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
3148284176,node,8.9844053,77.2264895,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_1_1,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
3148284229,node,8.9865902,77.226395,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_1_1,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
3148284509,node,8.9969007,77.269745,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_1_1,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
3304617732,node,8.9822554,77.233198,,,Power Plant,HIGHER_RELEVANCE,Power Plant,tile_1_1,"{""frequency"": ""50"", ""generator:method"": ""wind_turbine"", ""generator:source"": ""wind"", ""generator:type"": ""horizontal_axis"", ""power"": ""generator""}"
3649327073,node,9.0175851,76.8352362,Cashew Factory,,Manufacturing & Industrial Works,HIGHER_RELEVANCE,Industrial Works,tile_1_1,"{""building"": ""industrial"", ""name"": ""Cashew Factory""}"
4489603890,node,9.1760715,76.4725646,Chair manufacturing,,Manufacturing & Industrial Works,HIGHER_RELEVANCE,Industrial Works,tile_1_1,"{""addr:city"": "",Kayamkulam"", ""addr:postcode"": ""690535"", ""addr:street"": ""KV and Sons, Kandallor.P.O, Kandallor, Kerala"", ""man_made"": ""works"", ""name"": ""Chair manufacturing"", ""phone"": ""+91-94473 64837"", ""website"": ""https://www.kvsonsvisco.com""}"
