latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,index_right,osm_id,osm_type,facility_type,name,operator,distance_to_facility_m,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,distance_to_facility_km,industrial_facility_present,facility_type_code,day_of_year,month,year,hour,is_day,is_forest_fire_season,is_stubble_burning_season,brightness_difference,frp_brightness_ratio,log_frp,confidence_numeric,is_n20,is_suomi_npp,grid_lat,grid_lon,grid_id,grid_active_days,grid_detection_count,grid_total_frp,grid_brightness_mean,grid_brightness_std,grid_frp_mean,grid_frp_std,grid_n,brightness_zscore_local,frp_zscore_local,used_local_baseline,high_brightness_flag_local,high_frp_flag_local,persistent_location_flag,row_id,landcover_code,landcover_class,weak_label,predicted_class,predicted_class_confidence
11.65394,78.02792,311.1,0.4,0.6,2024-11-01,1940,N20,VIIRS,n,2.0NRT,287.43,1.16,N,VIIRS_N20,24,100024,node,Power Plant,Thermal Power Station #25,,18522.734247961016,0,0,0,0,18.522734247961015,1,1,306,11,2024,19,0,0,1,23.670000000000016,0.003728704596592735,0.7701082216960736,1.0,1,0,11.65,78.02,11.65_78.02,1,2,2.46,309.895,1.704127342659577,1.23,0.09899494936611673,2,-0.4622382024171344,-0.5061795768860088,0,0,0,0,0,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.6039379643353594
9.29417,79.06924,338.83,0.47,0.48,2024-11-02,826,N20,VIIRS,n,2.0NRT,289.06,5.15,D,VIIRS_N20,21,100021,node,Oil & Gas,Petroleum Refinery #22,,143928.1446296491,0,0,0,0,143.9281446296491,1,7,307,11,2024,8,1,0,1,49.76999999999998,0.015199362512174248,1.8164520818184267,1.0,1,0,9.290000000000001,79.06,9.29_79.06,1,2,10.56,337.935,1.2657211383238944,5.28,0.1838477631085022,2,1.3358056330597607,1.2420223292711734,0,0,0,0,1,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.467057400029955
10.26853,78.83812,331.76,0.4,0.37,2024-11-03,807,N20,VIIRS,n,2.0NRT,298.6,2.77,D,VIIRS_N20,3,100003,node,Oil & Gas,Petroleum Refinery #4,,57924.03804367205,0,0,0,0,57.92403804367205,1,7,308,11,2024,8,1,0,1,33.15999999999997,0.008349409211478177,1.3270750014599193,1.0,1,0,10.26,78.83,10.26_78.83,1,1,2.77,331.76,,2.77,,1,0.8773790222836463,0.1992352273528542,0,0,0,0,2,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9640556361564279
11.18232,79.09965,304.79,0.54,0.51,2024-11-03,2042,N20,VIIRS,n,2.0NRT,290.01,1.14,N,VIIRS_N20,12,100012,node,Power Plant,Thermal Power Station #13,,25675.295734245487,0,0,0,0,25.675295734245488,1,1,308,11,2024,20,0,0,1,14.78000000000003,0.003740280192919715,0.76080582903376,1.0,1,0,11.18,79.09,11.18_79.09,10,20,18.59,305.3995,3.199398751081369,0.9295,0.2404267040076872,20,-0.19050454395344216,0.8755267051919057,1,0,0,1,3,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.9649895527231055
13.20969,79.91416,333.19,0.4,0.37,2024-11-04,750,N20,VIIRS,n,2.0NRT,303.03,4.01,D,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,122418.70781173729,0,0,0,0,122.41870781173729,1,4,309,11,2024,7,1,0,1,30.160000000000025,0.01203517512530388,1.6114359150967734,1.0,1,0,13.200000000000001,79.91,13.2_79.91,1,1,4.01,333.19,,4.01,,1,0.9701018021153079,0.7425360703691212,0,0,0,0,4,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9744576467087505
12.2742,79.54851,337.36,0.42,0.37,2024-11-04,750,N20,VIIRS,n,2.0NRT,298.09,5.64,D,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,50182.50990692632,0,0,0,0,50.18250990692632,1,4,309,11,2024,7,1,0,1,39.27000000000004,0.016718046004268437,1.8931119634883424,1.0,1,0,12.27,79.54,12.27_79.54,1,1,5.64,337.36,,5.64,,1,1.240489209037006,1.456713791430827,0,0,0,0,5,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9953049566389376
12.2748,79.55231,338.19,0.42,0.37,2024-11-04,750,N20,VIIRS,n,2.0NRT,297.67,5.52,D,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,50548.42166498003,0,0,0,0,50.548421664980026,1,4,309,11,2024,7,1,0,1,40.51999999999998,0.016322185753570476,1.8748743759385615,1.0,1,0,12.27,79.55,12.27_79.55,1,1,5.52,338.19,,5.52,,1,1.294307326002235,1.4041362904937689,0,0,0,0,6,40.0,Cropland,Agricultural Burning,Agricultural Burning,0.9923911808533624
11.18312,79.09965,309.46,0.43,0.38,2024-11-04,2025,N20,VIIRS,n,2.0NRT,293.88,1.23,N,VIIRS_N20,12,100012,node,Power Plant,Thermal Power Station #13,,25587.315621385544,0,0,0,0,25.587315621385542,1,1,309,11,2024,20,0,0,1,15.579999999999984,0.003974665546435727,0.8020015854720274,1.0,1,0,11.18,79.09,11.18_79.09,10,20,18.59,305.3995,3.199398751081369,0.9295,0.2404267040076872,20,1.2691447099638882,1.2498611634687304,1,0,0,1,7,10.0,Tree cover,Other/Unclassified,Other/Unclassified,0.9366351866030062
11.81736,77.91756,305.68,0.39,0.37,2024-11-04,2025,N20,VIIRS,n,2.0NRT,290.19,1.06,N,VIIRS_N20,15,100015,node,Oil & Gas,Petroleum Refinery #16,,14066.20495351418,0,0,0,0,14.06620495351418,1,7,309,11,2024,20,0,0,1,15.490000000000009,0.0034676786181627845,0.7227059828014898,1.0,1,0,11.81,77.91,11.81_77.91,20,43,64.3,308.93627906976747,7.833273664389497,1.4953488372093022,0.7060599894829163,43,-0.4156983668999956,-0.616589020329746,1,0,0,1,8,40.0,Cropland,Other/Unclassified,Other/Unclassified,0.8219969584219112
12.87509,79.88728,309.2,0.45,0.39,2024-11-04,2025,N20,VIIRS,n,2.0NRT,293.36,1.03,N,VIIRS_N20,17,100017,node,Warehouse/Depot,Logistics Hub #18,,97287.92210642954,0,0,0,0,97.28792210642955,1,4,309,11,2024,20,0,0,1,15.839999999999975,0.00333117723156533,0.708035793053696,1.0,1,0,12.870000000000001,79.88,12.87_79.88,2,4,3.84,310.74,13.360541406195594,0.96,0.6774953874381728,4,-0.5854363014941689,-0.5631385362344883,0,0,0,0,9,20.0,Shrubland,Other/Unclassified,Other/Unclassified,0.6155947967491235
