latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,satellite_source,row_id,landcover_code,landcover_class,osm_coverage_status,distance_to_facility_m,distance_to_facility_km,nearest_facility_osm_id,nearest_facility_osm_type,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,near_industrial_10000m,distance_to_higher_relevance_m,distance_to_higher_relevance_km,nearest_hr_osm_id,nearest_hr_name,nearest_hr_category,near_higher_relevance_500m,near_higher_relevance_1000m,near_higher_relevance_2000m,near_higher_relevance_5000m,near_higher_relevance_10000m,distance_to_general_context_m
11.65394,78.02792,311.1,0.4,0.6,2024-11-01,1940,N20,VIIRS,n,2.0NRT,287.43,1.16,N,VIIRS_N20,0,50,Built-up,COVERED,328.3336921461477,0.3283336921461477,336571753,way,SAIL,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,458.26871305300216,0.45826871305300215,104170107,Salem Steel Plant,Steel / Metallurgy,1,1,1,1,1,1149.1196350541763
9.29417,79.06924,338.83,0.47,0.48,2024-11-02,826,N20,VIIRS,n,2.0NRT,289.06,5.15,D,VIIRS_N20,1,10,Tree cover,COVERED,2826.6854581376033,2.8266854581376033,11850487562,node,,Power Plant,Power Plant,HIGHER_RELEVANCE,0,0,0,1,1,2826.6854581376033,2.8266854581376033,11850487562,,Power Plant,0,0,0,1,1,16364.310935943517
10.26853,78.83812,331.76,0.4,0.37,2024-11-03,807,N20,VIIRS,n,2.0NRT,298.6,2.77,D,VIIRS_N20,2,20,Shrubland,COVERED,9090.553073033303,9.090553073033304,669581925,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,1,12285.075261562195,12.285075261562195,1002131171,Nizam Supari Factory,Manufacturing & Industrial Works,0,0,0,0,0,9090.553073033303
11.18232,79.09965,304.79,0.54,0.51,2024-11-03,2042,N20,VIIRS,n,2.0NRT,290.01,1.14,N,VIIRS_N20,3,50,Built-up,COVERED,396.25434257551336,0.39625434257551334,340697977,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,706.4338230101368,0.7064338230101368,1468887795,,Power Plant,0,1,1,1,1,755.5441850403682
13.20969,79.91416,333.19,0.4,0.37,2024-11-04,750,N20,VIIRS,n,2.0NRT,303.03,4.01,D,VIIRS_N20,4,40,Cropland,FAILED_TILE,114898.83334131957,114.89883334131956,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,114898.83334131957,114.89883334131956,1026841614,,Mining & Quarry,0,0,0,0,0,116163.24208654571
12.2742,79.54851,337.36,0.42,0.37,2024-11-04,750,N20,VIIRS,n,2.0NRT,298.09,5.64,D,VIIRS_N20,5,40,Cropland,FAILED_TILE,15266.538267725924,15.266538267725924,705173099,way,Sree Amman Transformer Works,Industrial Works,Manufacturing & Industrial Works,HIGHER_RELEVANCE,0,0,0,0,0,15266.538267725924,15.266538267725924,705173099,Sree Amman Transformer Works,Manufacturing & Industrial Works,0,0,0,0,0,24936.80613772712
12.2748,79.55231,338.19,0.42,0.37,2024-11-04,750,N20,VIIRS,n,2.0NRT,297.67,5.52,D,VIIRS_N20,6,40,Cropland,FAILED_TILE,15175.128861239547,15.175128861239548,705173099,way,Sree Amman Transformer Works,Industrial Works,Manufacturing & Industrial Works,HIGHER_RELEVANCE,0,0,0,0,0,15175.128861239547,15.175128861239548,705173099,Sree Amman Transformer Works,Manufacturing & Industrial Works,0,0,0,0,0,25011.135641826106
11.18312,79.09965,309.46,0.43,0.38,2024-11-04,2025,N20,VIIRS,n,2.0NRT,293.88,1.23,N,VIIRS_N20,7,50,Built-up,COVERED,360.0193161722355,0.3600193161722355,340697977,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,658.7339708137059,0.6587339708137059,1468887795,,Power Plant,0,1,1,1,1,766.1658125861442
11.81736,77.91756,305.68,0.39,0.37,2024-11-04,2025,N20,VIIRS,n,2.0NRT,290.19,1.06,N,VIIRS_N20,8,50,Built-up,COVERED,215.91883199453267,0.21591883199453266,340479236,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,327.13180543896755,0.3271318054389675,876239837,JSW Steel Plant,Steel / Metallurgy,1,1,1,1,1,1837.5044412003392
12.87509,79.88728,309.2,0.45,0.39,2024-11-04,2025,N20,VIIRS,n,2.0NRT,293.36,1.03,N,VIIRS_N20,9,30,Grassland,FAILED_TILE,77708.51188730031,77.7085118873003,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,77708.51188730031,77.7085118873003,1026841614,,Mining & Quarry,0,0,0,0,0,79168.53692271012
