event_id,row_id,acq_date,acq_time,acq_datetime,latitude,longitude,satellite,satellite_source,instrument,frp,brightness,bright_t31,brightness_difference,frp_brightness_ratio,log_frp,confidence,confidence_numeric,daynight,is_day,is_forest_fire_season,is_stubble_burning_season,grid_detection_count,grid_active_days,persistent_location_flag,grid_total_frp,grid_brightness_mean,high_brightness_flag_local,high_frp_flag_local,brightness_zscore_local,frp_zscore_local,landcover_code,landcover_class,osm_coverage_status,distance_to_facility_m,distance_to_facility_km,nearest_facility_osm_id,nearest_facility_osm_type,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,near_industrial_10000m,distance_to_higher_relevance_m,distance_to_higher_relevance_km,nearest_hr_osm_id,nearest_hr_name,nearest_hr_category,near_higher_relevance_500m,near_higher_relevance_1000m,near_higher_relevance_2000m,near_higher_relevance_5000m,near_higher_relevance_10000m,candidate_priority_score,candidate_priority,is_spatial_duplicate,selection_rationale,ground_truth_status,weak_label,processing_status,is_real_cdse_data,failure_reason,aoi_dimensions_m,raster_dimensions_px,bands_requested,selected_pre_image_date,pre_product_id,pre_product_name,pre_tile_id,pre_cloud_cover_catalogue,pre_observation_status,pre_observation_failure_reason,selected_post_image_date,post_product_id,post_product_name,post_tile_id,post_cloud_cover_catalogue,post_observation_status,post_observation_failure_reason,pre_obs_date,pre_raster_dimensions,pre_bands_requested,s2_pre_spectral_valid_pixels,s2_pre_spectral_valid_pct,s2_pre_feature_status,pre_bbox_wgs84,pre_download_bytes,post_obs_date,post_raster_dimensions,post_bands_requested,s2_post_spectral_valid_pixels,s2_post_spectral_valid_pct,s2_post_feature_status,post_bbox_wgs84,post_download_bytes,s2_pre_total_pixels,s2_post_total_pixels,s2_pre_ndvi_mean,s2_post_ndvi_mean,s2_pre_ndvi_median,s2_post_ndvi_median,s2_pre_ndvi_std,s2_post_ndvi_std,s2_pre_ndvi_min,s2_post_ndvi_min,s2_pre_ndvi_max,s2_post_ndvi_max,s2_pre_nbr_mean,s2_post_nbr_mean,s2_pre_nbr_median,s2_post_nbr_median,s2_pre_nbr_std,s2_post_nbr_std,s2_pre_nbr_min,s2_post_nbr_min,s2_pre_nbr_max,s2_post_nbr_max,s2_pre_ndwi_mean,s2_post_ndwi_mean,s2_pre_ndwi_median,s2_post_ndwi_median,s2_pre_ndwi_std,s2_post_ndwi_std,s2_pre_ndwi_min,s2_post_ndwi_min,s2_pre_ndwi_max,s2_post_ndwi_max,s2_pre_swir_ratio_mean,s2_post_swir_ratio_mean,s2_pre_swir_ratio_median,s2_post_swir_ratio_median,s2_pre_swir_ratio_std,s2_post_swir_ratio_std,s2_pre_b04_mean,s2_post_b04_mean,s2_pre_b08_mean,s2_post_b08_mean,s2_pre_b11_mean,s2_post_b11_mean,s2_pre_b12_mean,s2_post_b12_mean,s2_change_status,s2_change_failure_reason,s2_dndvi_mean,s2_abs_dndvi_mean,s2_dndvi_median,s2_abs_dndvi_median,s2_dnbr_mean,s2_abs_dnbr_mean,s2_dnbr_median,s2_abs_dnbr_median,s2_dndwi_mean,s2_abs_dndwi_mean,s2_dndwi_median,s2_abs_dndwi_median,s2_dswir_ratio_mean,s2_abs_dswir_ratio_mean,s2_dswir_ratio_median,s2_abs_dswir_ratio_median
FIRMS_TN_0007,7,2024-11-04,2025,2024-11-04T20:00,11.18312,79.09965,N20,VIIRS_N20,VIIRS,1.23,309.46,293.88,15.579999999999984,0.0039746655464357,0.8020015854720274,n,1.0,N,0,0,1,20,10,1,18.59,305.3995,0,0,1.2691447099638882,1.2498611634687304,50,Built-up,COVERED,360.0193161722355,0.3600193161722355,340697977,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,658.7339708137059,0.6587339708137059,1468887795,,Power Plant,0,1,1,1,1,0.5021900432244033,HIGH,False,Within 500 m of CAUTION_LOWER_RELEVANCE facility: Substation & Electrical Infrastructure; Low FRP=1.23 MW; Persistent location (active 10 days); Landcover=Built-up,UNVERIFIED,Other/Unclassified,REAL_CDSE_SUCCESS,True,,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-29T05:08:39.024000Z,0fac1335-d084-46ab-a81f-d2435afe4a07,S2B_MSIL2A_20241029T050839_N0511_R019_T44PKT_20241029T073358.SAFE,T44PKT,5.90982,REAL_CDSE_SUCCESS,,2024-11-10T05:00:31.024000Z,0d5ec360-2362-4138-885e-502f59cb421b,S2A_MSIL2A_20241110T050031_N0511_R119_T44PKT_20241110T082750.SAFE,T44PKT,9.225395,REAL_CDSE_SUCCESS,,2024-10-29T05:08:39.024000Z,50x50,"SCL, B04, B08, B11, B12",2476.0,99.04,SUCCESS,"[79.09507,11.17863,79.10423,11.18761]",19637.0,2024-11-10T05:00:31.024000Z,50x50,"SCL, B04, B08, B11, B12",2184.0,87.36,SUCCESS,"[79.09507,11.17863,79.10423,11.18761]",20033.0,2500.0,2500.0,0.4564661559605425,0.4392160772666253,0.4821604538713838,0.42356268080480486,0.24173328109929312,0.22976389540752315,-0.23224568138195778,-0.18723994452149792,0.8693957115009746,0.8598290598290599,0.1891081624983434,0.22422051950899483,0.2171005135387855,0.22264704431024832,0.2650049345534454,0.23611059106641205,-0.8242530755711776,-0.6829268292682927,0.6882591093117408,0.7069306930693069,0.0516270609045337,0.06590129209826788,0.06535893546392454,0.06383911349794477,0.17553948145550552,0.15818133252009414,-0.5145067698259188,-0.41951461119366024,0.45185185185185184,0.47539580658964486,0.767720331062198,0.727907977771128,0.713102102688656,0.7024287656125772,0.23717440702463957,0.19797517778937568,905.981421647819,1185.8754578754579,2485.726575121163,2997.796245421245,2196.2742326332796,2599.437271062271,1709.9071082390954,1935.1419413919414,SUCCESS,,-0.017250078693917203,0.017250078693917203,-0.05859777306657893,0.05859777306657893,0.035112357010651435,0.035112357010651435,0.005546530771462804,0.005546530771462804,0.01427423119373418,0.01427423119373418,-0.001519821965979773,0.001519821965979773,-0.03981235329106991,0.03981235329106991,-0.01067333707607887,0.01067333707607887
FIRMS_TN_0087,87,2024-12-04,2059,2024-12-04T20:00,11.18143,79.0966,N20,VIIRS_N20,VIIRS,1.08,300.15,283.25,16.899999999999977,0.0035982008995502,0.7323678937132266,n,1.0,N,0,0,0,20,10,1,18.59,305.3995,0,0,-1.640777036068332,0.6259703996740233,40,Cropland,COVERED,297.6449673170429,0.2976449673170429,340697977,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,1040.8403744346022,1.0408403744346022,1468887795,,Power Plant,0,0,1,1,1,0.5022359263182051,HIGH,False,Within 500 m of CAUTION_LOWER_RELEVANCE facility: Substation & Electrical Infrastructure; Low FRP=1.08 MW; Persistent location (active 10 days); Landcover=Cropland,UNVERIFIED,Other/Unclassified,CLOUD_REJECTED,True,Post cloud-rejected (Valid surface pixel coverage too low: 50.0% (threshold: 70.0%)); pre: MISSING_PRODUCT,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,MISSING_PRODUCT,No usable pre-event product was matched in catalogue search.,2024-12-08T05:11:19.024000Z,d78f129c-2ac5-4fce-842c-814b32da653a,S2B_MSIL2A_20241208T051119_N0511_R019_T44PKT_20241208T075639.SAFE,T44PKT,26.985562,CLOUD_REJECTED,Valid surface pixel coverage too low: 50.0% (threshold: 70.0%),,50x50,"SCL, B04, B08, B11, B12",,,,,,2024-12-08T05:11:19.024000Z,50x50,"SCL, B04, B08, B11, B12",1251.0,50.04,SUCCESS,"[79.09202,11.17694,79.10118,11.18592]",19243.0,,2500.0,,0.5065768210966896,,0.5495757575757576,,0.19290485421776554,,-0.08067135896047645,,0.8122729879564137,,0.3227064962704588,,0.3483375959079284,,0.20659629309128344,,-0.3836660617059891,,0.6766735036360246,,0.12188037140037082,,0.12756808408982323,,0.12153562466961029,,-0.3400699572483482,,0.4129478315524827,,0.6557162593757443,,0.6154173764906303,,0.17138661290643534,,971.6922462030376,,3077.5203836930455,,2357.630695443645,,1546.3764988009593,MISSING_PRE,Pre Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
FIRMS_TN_0001,1,2024-11-02,826,2024-11-02T08:00,9.29417,79.06924,N20,VIIRS_N20,VIIRS,5.15,338.83,289.06,49.76999999999998,0.0151993625121742,1.8164520818184269,n,1.0,D,1,0,1,2,1,0,10.56,337.935,0,0,1.3358056330597607,1.2420223292711734,10,Tree cover,COVERED,2826.685458137604,2.826685458137604,11850487562,node,,Power Plant,Power Plant,HIGHER_RELEVANCE,0,0,0,1,1,2826.685458137604,2.826685458137604,11850487562,,Power Plant,0,0,0,1,1,0.5224122575748802,HIGH,False,Within 5 km of HIGHER_RELEVANCE facility: Power Plant; High FRP=5.2 MW; Landcover=Tree cover,UNVERIFIED,Other/Unclassified,PARTIAL_POST_ONLY,True,Post successful; pre unavailable: CLOUD_REJECTED (Valid surface pixel coverage too low: 33.8% (threshold: 70.0%)),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-31T04:59:41.024000Z,95a3c91d-8b60-4d1e-a0cd-6cc7a520a7ca,S2A_MSIL2A_20241031T045941_N0511_R119_T44PKR_20241031T090153.SAFE,T44PKR,29.073372,CLOUD_REJECTED,Valid surface pixel coverage too low: 33.8% (threshold: 70.0%),2024-11-05T04:59:09.024000Z,d3f1d7f5-1ef2-4f47-9a87-02c6c5ab5104,S2B_MSIL2A_20241105T045909_N0511_R119_T44PKR_20241105T072318.SAFE,T44PKR,24.038155,REAL_CDSE_SUCCESS,,2024-10-31T04:59:41.024000Z,50x50,"SCL, B04, B08, B11, B12",844.0,33.76,SUCCESS,"[79.06469,9.28968,79.07379,9.29866]",20596.0,2024-11-05T04:59:09.024000Z,50x50,"SCL, B04, B08, B11, B12",2500.0,100.0,SUCCESS,"[79.06469,9.28968,79.07379,9.29866]",20067.0,2500.0,2500.0,0.2516461318155794,0.33294960503498694,0.22161380683584736,0.3117695503122492,0.18491567331973238,0.26620077460661157,-0.5073446327683616,-1.0,0.7739703459637561,0.9758308157099698,0.07635195849395279,0.08188569366914791,0.05680990764374577,0.05331085155794121,0.13807247938898115,0.1982077689835075,-0.3573923166472643,-1.0,0.6344869459623558,0.6995192307692307,-0.03327923639668819,-0.026995052675629985,-0.046653533144885656,-0.03256422035818679,0.09885033404219302,0.15262927798820175,-0.41935483870967744,-1.0,0.3878077071787602,0.5010615711252654,0.8032033050434357,0.805916001538378,0.8142657980370545,0.8221405225555116,0.08357896359717588,0.1179030756519971,2273.85663507109,1858.0552,3802.5604265402844,3519.4976,4125.678909952607,3697.7092,3373.0687203791467,3049.1216,INSUFFICIENT_VALID_DATA,"Valid pixel coverage too low: pre=33.8%, post=100.0% (threshold=70.0%).",,,,,,,,,,,,,,,,
FIRMS_TN_0297,297,2025-01-08,730,2025-01-08T07:00,12.03586,79.81428,N20,VIIRS_N20,VIIRS,13.34,339.16,296.26,42.900000000000034,0.0393324684514683,2.663052835171474,n,1.0,D,1,0,0,2,2,0,17.85,336.06,0,1,1.3572031976363006,4.830436768225389,10,Tree cover,COVERED,2614.7746517408978,2.614774651740898,58389257,way,Workshop,Industrial Works,Manufacturing & Industrial Works,HIGHER_RELEVANCE,0,0,0,1,1,2614.7746517408978,2.614774651740898,58389257,Workshop,Manufacturing & Industrial Works,0,0,0,1,1,0.5671179099357284,HIGH,False,Within 5 km of HIGHER_RELEVANCE facility: Manufacturing & Industrial Works (Workshop); Very high FRP=13.3 MW; Landcover=Tree cover,UNVERIFIED,Other/Unclassified,PARTIAL_PRE_ONLY,True,Pre successful; post unavailable: MISSING_PRODUCT (No usable post-event product was matched in catalogue search.),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2025-01-04T05:01:19.024000Z,d63e0c34-c73a-430d-80b5-43c855a06830,S2B_MSIL2A_20250104T050119_N0511_R119_T44PLU_20250104T132122.SAFE,T44PLU,15.663002,REAL_CDSE_SUCCESS,,,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2025-01-04T05:01:19.024000Z,50x50,"SCL, B04, B08, B11, B12",2500.0,100.0,SUCCESS,"[79.80969,12.03137,79.81887,12.04035]",19149.0,,50x50,"SCL, B04, B08, B11, B12",,,,,,2500.0,,0.7339133988612864,,0.7871155568164692,,0.1826806108661109,,0.14248151191454397,,0.9733141002524341,,0.4211166739745176,,0.46916218554347844,,0.22291660508495448,,-0.28883495145631066,,0.7126948775055679,,0.1750525851061343,,0.19740078791045398,,0.19144440446049005,,-0.37459978655282816,,0.4618943267591916,,0.5618532209624404,,0.5414243838270825,,0.08829639854658689,,439.082,,2723.7992,,1999.3456,,1179.722,,MISSING_POST,Post Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
FIRMS_TN_0000,0,2024-11-01,1940,2024-11-01T19:00,11.65394,78.02792,N20,VIIRS_N20,VIIRS,1.16,311.1,287.43,23.670000000000016,0.0037287045965927,0.7701082216960736,n,1.0,N,0,0,1,2,1,0,2.46,309.895,0,0,-0.4622382024171344,-0.5061795768860088,50,Built-up,COVERED,328.3336921461477,0.3283336921461477,336571753,way,SAIL,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,458.26871305300216,0.4582687130530021,104170107,Salem Steel Plant,Steel / Metallurgy,1,1,1,1,1,0.422509642711768,MEDIUM,False,Within 500 m of CAUTION_LOWER_RELEVANCE facility: Substation & Electrical Infrastructure (SAIL); Low FRP=1.16 MW; Landcover=Built-up,UNVERIFIED,Other/Unclassified,PARTIAL_PRE_ONLY,True,Pre successful; post unavailable: MISSING_PRODUCT (No usable post-event product was matched in catalogue search.),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-29T05:08:39.024000Z,20f7e33a-a236-463a-9a13-5830416b1388,S2B_MSIL2A_20241029T050839_N0511_R019_T43PHN_20241029T073358.SAFE,T43PHN,27.27344,REAL_CDSE_SUCCESS,,,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2024-10-29T05:08:39.024000Z,50x50,"SCL, B04, B08, B11, B12",1964.0,78.56,SUCCESS,"[78.02333,11.64945,78.03251,11.65843]",18859.0,,50x50,"SCL, B04, B08, B11, B12",,,,,,2500.0,,0.620062574826448,,0.7613654563784821,,0.2449045205214441,,-0.1497326203208556,,0.8732663797226208,,0.3984099899346891,,0.5224840464162168,,0.2457791893919207,,-0.2637628554143981,,0.6869078380706287,,0.18410415084363746,,0.24458134731046405,,0.14868494461033552,,-0.26518391787852863,,0.39842913245269546,,0.6170672330227643,,0.5185423990836638,,0.1850861039709957,,582.443482688391,,2685.1466395112016,,1778.801934826884,,1113.3243380855397,,MISSING_POST,Post Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
FIRMS_TN_0004,4,2024-11-04,750,2024-11-04T07:00,13.20969,79.91416,N20,VIIRS_N20,VIIRS,4.01,333.19,303.03,30.160000000000025,0.0120351751253038,1.6114359150967734,n,1.0,D,1,0,1,1,1,0,4.01,333.19,0,0,0.970101802115308,0.7425360703691212,40,Cropland,FAILED_TILE,114898.83334131957,114.89883334131956,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,114898.83334131957,114.89883334131956,1026841614,,Mining & Quarry,0,0,0,0,0,0.3275048471094908,MEDIUM,False,FAILED_TILE: Chennai/Ennore coast - high-density industrial region with no OSM coverage; Moderate FRP=4.0 MW; Landcover=Cropland,UNVERIFIED,Agricultural Burning,REAL_CDSE_SUCCESS,True,,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-31T04:59:41.024000Z,d0698e73-4292-4a5b-8f43-42670627e8bb,S2A_MSIL2A_20241031T045941_N0511_R119_T44PLV_20241031T090153.SAFE,T44PLV,34.202874,REAL_CDSE_SUCCESS,,2024-11-05T04:59:09.024000Z,1e889314-5aab-4145-96e8-21247876b144,S2B_MSIL2A_20241105T045909_N0511_R119_T44PLV_20241105T072318.SAFE,T44PLV,28.828275,REAL_CDSE_SUCCESS,,2024-10-31T04:59:41.024000Z,50x50,"SCL, B04, B08, B11, B12",2418.0,96.72,SUCCESS,"[79.90955,13.20520,79.91877,13.21418]",19814.0,2024-11-05T04:59:09.024000Z,50x50,"SCL, B04, B08, B11, B12",2316.0,92.64,SUCCESS,"[79.90955,13.20520,79.91877,13.21418]",19950.0,2500.0,2500.0,0.3935930117859602,0.4430892330208698,0.3810482391721661,0.43692799382147784,0.16382057776633097,0.18354154377910425,0.11048158640226628,0.051094890510948905,0.753866845998655,0.8185963198176193,0.1517313504808529,0.17472400846697086,0.1384167291152057,0.16172742769163093,0.2564258145904168,0.26620385596166385,-0.3054580274497287,-0.29565551710880433,0.6931754089114496,0.7308524448290783,-0.009974292749897865,0.020178501843994914,-0.02482939756356113,0.016074673412480207,0.16924940458758445,0.17878008638387793,-0.29693053311793216,-0.325999266593326,0.4859154929577465,0.4622279129321383,0.7217560072952947,0.7300109731837129,0.7200524890650786,0.7333655005290702,0.15938926957789168,0.16645631696461682,1334.3341604631928,1241.4667530224524,3034.3531844499585,3130.79274611399,3192.637717121588,3157.4965457685666,2419.1741108354013,2448.628238341969,SUCCESS,,0.0494962212349096,0.0494962212349096,0.05587975464931172,0.05587975464931172,0.022992657986117965,0.022992657986117965,0.02331069857642523,0.02331069857642523,0.03015279459389278,0.03015279459389278,0.04090407097604134,0.04090407097604134,0.008254965888418231,0.008254965888418231,0.013313011463991664,0.013313011463991664
FIRMS_TN_0046,46,2024-11-10,735,2024-11-10T07:00,11.17264,79.26752,N20,VIIRS_N20,VIIRS,8.09,332.76,303.05,29.70999999999998,0.0243118163240774,2.2071749081893874,n,1.0,D,1,0,1,1,1,0,8.09,332.76,0,1,0.9422201270610318,2.530171102229097,10,Tree cover,COVERED,10369.192746213672,10.369192746213672,1000877896,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,10369.192746213672,10.369192746213672,1000877896,,Mining & Quarry,0,0,0,0,0,0.3054038827936507,MEDIUM,False,Far from industrial facilities (10.4 km to nearest); High FRP=8.1 MW; Landcover=Tree cover,UNVERIFIED,Agricultural Burning,PARTIAL_PRE_ONLY,True,Pre successful; post unavailable: MISSING_PRODUCT (No usable post-event product was matched in catalogue search.),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-11-05T04:59:09.024000Z,a22e924b-3544-4afa-8918-c011b4a2e8d1,S2B_MSIL2A_20241105T045909_N0511_R119_T44PLT_20241105T072318.SAFE,T44PLT,36.305603,REAL_CDSE_SUCCESS,,,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2024-11-05T04:59:09.024000Z,50x50,"SCL, B04, B08, B11, B12",2315.0,92.6,SUCCESS,"[79.26294,11.16815,79.27210,11.17713]",19205.0,,50x50,"SCL, B04, B08, B11, B12",,,,,,2500.0,,0.36627657798453406,,0.33407531070302354,,0.1266019939031289,,0.14250764525993884,,0.6895496283340621,,0.1492502990235104,,0.11970758452634785,,0.17130900359642204,,-0.12910618792971734,,0.6246648793565683,,-0.042297669300984796,,-0.04647573315040302,,0.12687222991550104,,-0.2725880551301684,,0.38831615120274915,,0.6769074949701034,,0.6964002716776092,,0.07765139216063538,,1561.7352051835853,,3328.4907127429806,,3688.36717062635,,2544.624622030238,,MISSING_POST,Post Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
FIRMS_TN_0017,17,2024-11-05,2004,2024-11-05T20:00,13.39262,80.10134,N20,VIIRS_N20,VIIRS,1.09,309.67,294.2,15.470000000000027,0.003519875997029,0.7371640659767197,n,1.0,N,0,0,1,21,10,1,22.85,306.8885714285714,0,0,0.7154187972303154,0.0033946763300411,20,Shrubland,FAILED_TILE,137472.3642904896,137.47236429048962,202465563,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,0,139036.827665887,139.036827665887,1026841614,,Mining & Quarry,0,0,0,0,0,0.3519653939486912,MEDIUM,False,FAILED_TILE: Chennai/Ennore coast - high-density industrial region with no OSM coverage; Low FRP=1.09 MW; Persistent location (active 10 days); Landcover=Shrubland,UNVERIFIED,Other/Unclassified,CLOUD_REJECTED,True,Both pre and post observations rejected due to cloud/shadow cover.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-31T04:59:41.024000Z,d0698e73-4292-4a5b-8f43-42670627e8bb,S2A_MSIL2A_20241031T045941_N0511_R119_T44PLV_20241031T090153.SAFE,T44PLV,34.202874,CLOUD_REJECTED,Valid surface pixel coverage too low: 0.0% (threshold: 70.0%),2024-11-10T05:00:31.024000Z,19b7ea29-4766-4adf-b72a-c63aba91de5a,S2A_MSIL2A_20241110T050031_N0511_R119_T44PMV_20241110T082750.SAFE,T44PMV,24.296539,CLOUD_REJECTED,Valid surface pixel coverage too low: 48.0% (threshold: 70.0%),2024-10-31T04:59:41.024000Z,50x50,"SCL, B04, B08, B11, B12",0.0,0.0,ALL_PIXELS_MASKED,"[80.09672,13.38813,80.10596,13.39711]",20947.0,2024-11-10T05:00:31.024000Z,50x50,"SCL, B04, B08, B11, B12",1200.0,48.0,SUCCESS,"[80.09672,13.38813,80.10596,13.39711]",20098.0,2500.0,2500.0,,0.389679607162106,,0.433205081100272,,0.21394921221563495,,-0.19256308100929614,,0.7791330864735352,,0.3021975177403032,,0.3434051790640197,,0.22580726932921796,,-0.5402298850574713,,0.6920651602732527,,0.11685004283279438,,0.12278628651398248,,0.16328497564655764,,-0.48881789137380194,,0.4935064935064935,,0.6753804214297329,,0.6328461563528529,,0.14255404453516726,,1336.865,,2543.9791666666665,,2153.085,,1599.4591666666668,MISSING_PRE,Pre Step 3A features are unusable (status: ALL_PIXELS_MASKED).,,,,,,,,,,,,,,,,
FIRMS_TN_0038,38,2024-11-09,756,2024-11-09T07:00,12.79986,77.9681,N20,VIIRS_N20,VIIRS,2.37,329.83,302.07,27.75999999999999,0.0071855198132371,1.2149127443642704,n,1.0,D,1,0,1,1,1,0,2.37,329.83,0,0,0.752235690063292,0.0239768908959938,40,Cropland,FAILED_TILE,71318.27733142306,71.31827733142306,425335457,way,Palavadi,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,78265.91739729601,78.26591739729601,971761880,,Mining & Quarry,0,0,0,0,0,0.2810909583596363,LOW,False,FAILED_TILE: OSM coverage unavailable - industrial context unknown; Moderate FRP=2.4 MW; Landcover=Cropland,UNVERIFIED,Other/Unclassified,CLOUD_REJECTED,True,Pre cloud-rejected (Valid surface pixel coverage too low: 62.3% (threshold: 70.0%)); post: MISSING_PRODUCT,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-11-08T05:09:29.024000Z,bfb0f664-5e94-4009-a120-34ec67cffdd4,S2B_MSIL2A_20241108T050929_N0511_R019_T43PHQ_20241108T073629.SAFE,T43PHQ,36.290202,CLOUD_REJECTED,Valid surface pixel coverage too low: 62.3% (threshold: 70.0%),,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2024-11-08T05:09:29.024000Z,50x50,"SCL, B04, B08, B11, B12",1557.0,62.28,SUCCESS,"[77.96349,12.79537,77.97271,12.80435]",20301.0,,50x50,"SCL, B04, B08, B11, B12",,,,,,2500.0,,0.525799538665596,,0.5892778023925564,,0.21815923563563994,,0.027221366204417053,,0.8372264568477994,,0.33151023053962886,,0.3766617429837518,,0.21577773271113138,,-0.13723866694266199,,0.7738967721815063,,0.12116735929246197,,0.1516652903936141,,0.16056931998329976,,-0.2698320787492762,,0.5751869288285794,,0.6299256121450857,,0.6164972634870993,,0.11270990317395141,,1115.863840719332,,3436.1592806679514,,2732.6229929351316,,1795.6429030186255,,MISSING_POST,Post Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
FIRMS_TN_0002,2,2024-11-03,807,2024-11-03T08:00,10.26853,78.83812,N20,VIIRS_N20,VIIRS,2.77,331.76,298.6,33.15999999999997,0.0083494092114781,1.3270750014599193,n,1.0,D,1,0,1,1,1,0,2.77,331.76,0,0,0.8773790222836463,0.1992352273528542,20,Shrubland,COVERED,9090.553073033305,9.090553073033304,669581925,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,0,0,0,0,1,12285.075261562197,12.285075261562197,1002131171,Nizam Supari Factory,Manufacturing & Industrial Works,0,0,0,0,0,0.231575187813396,LOW,False,Far from industrial facilities (9.1 km to nearest); Moderate FRP=2.8 MW; Landcover=Shrubland,UNVERIFIED,Agricultural Burning,CLOUD_REJECTED,True,Both pre and post observations rejected due to cloud/shadow cover.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-29T05:08:39.024000Z,7f584f92-5cfe-4b10-8ad8-759b3d920ef6,S2B_MSIL2A_20241029T050839_N0511_R019_T44PKS_20241029T073358.SAFE,T44PKS,28.677183,CLOUD_REJECTED,Valid surface pixel coverage too low: 0.0% (threshold: 70.0%),2024-11-05T04:59:09.024000Z,63040e56-a51e-4b54-9953-f8f0cec46b14,S2B_MSIL2A_20241105T045909_N0511_R119_T44PKS_20241105T072318.SAFE,T44PKS,26.063955,CLOUD_REJECTED,Valid surface pixel coverage too low: 68.1% (threshold: 70.0%),2024-10-29T05:08:39.024000Z,50x50,"SCL, B04, B08, B11, B12",0.0,0.0,ALL_PIXELS_MASKED,"[78.83356,10.26404,78.84268,10.27302]",19325.0,2024-11-05T04:59:09.024000Z,50x50,"SCL, B04, B08, B11, B12",1703.0,68.12,SUCCESS,"[78.83356,10.26404,78.84268,10.27302]",19305.0,2500.0,2500.0,,0.4464472644173232,,0.5249266862170088,,0.18906690702678178,,0.05603985056039851,,0.7571557698101838,,0.14071962332197027,,0.2088401576152133,,0.1710461259168037,,-0.19314938154138916,,0.4480039428289798,,-0.06726299171475042,,-0.0270136918712224,,0.12088950098520736,,-0.31539888682745826,,0.19030837004405288,,0.6568083131347565,,0.6324466092169352,,0.07993609854255482,,1132.2196124486202,,2757.169700528479,,3236.5038167938933,,2180.422783323547,MISSING_PRE,Pre Step 3A features are unusable (status: ALL_PIXELS_MASKED).,,,,,,,,,,,,,,,,
