event_id,row_id,acq_date,acq_time,acq_datetime,latitude,longitude,satellite,satellite_source,instrument,frp,brightness,bright_t31,brightness_difference,frp_brightness_ratio,log_frp,confidence,confidence_numeric,daynight,is_day,is_forest_fire_season,is_stubble_burning_season,grid_detection_count,grid_active_days,persistent_location_flag,grid_total_frp,grid_brightness_mean,high_brightness_flag_local,high_frp_flag_local,brightness_zscore_local,frp_zscore_local,landcover_code,landcover_class,osm_coverage_status,distance_to_facility_m,distance_to_facility_km,nearest_facility_osm_id,nearest_facility_osm_type,nearest_facility_name,nearest_facility_type,nearest_facility_category,nearest_facility_tier,near_industrial_500m,near_industrial_1000m,near_industrial_2000m,near_industrial_5000m,near_industrial_10000m,distance_to_higher_relevance_m,distance_to_higher_relevance_km,nearest_hr_osm_id,nearest_hr_name,nearest_hr_category,near_higher_relevance_500m,near_higher_relevance_1000m,near_higher_relevance_2000m,near_higher_relevance_5000m,near_higher_relevance_10000m,candidate_priority_score,candidate_priority,is_spatial_duplicate,selection_rationale,ground_truth_status,weak_label,epoch_day,processing_status,is_real_cdse_data,failure_reason,aoi_dimensions_m,raster_dimensions_px,bands_requested,selected_pre_image_date,pre_product_id,pre_product_name,pre_tile_id,pre_cloud_cover_catalogue,pre_observation_status,pre_observation_failure_reason,selected_post_image_date,post_product_id,post_product_name,post_tile_id,post_cloud_cover_catalogue,post_observation_status,post_observation_failure_reason,pre_obs_date,pre_raster_dimensions,pre_bands_requested,s2_pre_spectral_valid_pixels,s2_pre_spectral_valid_pct,s2_pre_feature_status,pre_bbox_wgs84,pre_download_bytes,post_obs_date,post_raster_dimensions,post_bands_requested,s2_post_spectral_valid_pixels,s2_post_spectral_valid_pct,s2_post_feature_status,post_bbox_wgs84,post_download_bytes,s2_pre_total_pixels,s2_post_total_pixels,s2_pre_ndvi_mean,s2_post_ndvi_mean,s2_pre_ndvi_median,s2_post_ndvi_median,s2_pre_ndvi_std,s2_post_ndvi_std,s2_pre_ndvi_min,s2_post_ndvi_min,s2_pre_ndvi_max,s2_post_ndvi_max,s2_pre_nbr_mean,s2_post_nbr_mean,s2_pre_nbr_median,s2_post_nbr_median,s2_pre_nbr_std,s2_post_nbr_std,s2_pre_nbr_min,s2_post_nbr_min,s2_pre_nbr_max,s2_post_nbr_max,s2_pre_ndwi_mean,s2_post_ndwi_mean,s2_pre_ndwi_median,s2_post_ndwi_median,s2_pre_ndwi_std,s2_post_ndwi_std,s2_pre_ndwi_min,s2_post_ndwi_min,s2_pre_ndwi_max,s2_post_ndwi_max,s2_pre_swir_ratio_mean,s2_post_swir_ratio_mean,s2_pre_swir_ratio_median,s2_post_swir_ratio_median,s2_pre_swir_ratio_std,s2_post_swir_ratio_std,s2_pre_b04_mean,s2_post_b04_mean,s2_pre_b08_mean,s2_post_b08_mean,s2_pre_b11_mean,s2_post_b11_mean,s2_pre_b12_mean,s2_post_b12_mean,s2_change_status,s2_change_failure_reason,s2_dndvi_mean,s2_abs_dndvi_mean,s2_dndvi_median,s2_abs_dndvi_median,s2_dnbr_mean,s2_abs_dnbr_mean,s2_dnbr_median,s2_abs_dnbr_median,s2_dndwi_mean,s2_abs_dndwi_mean,s2_dndwi_median,s2_abs_dndwi_median,s2_dswir_ratio_mean,s2_abs_dswir_ratio_mean,s2_dswir_ratio_median,s2_abs_dswir_ratio_median
FIRMS_TN_0468,468,2024-12-19,822,2024-12-19T08:00,8.65877,78.11285,N,VIIRS_SUOMI_NPP,VIIRS,5.52,335.17,295.75,39.420000000000016,0.0164692544082107,1.874874375938561,n,1.0,D,1,0,0,2,2,0,12.23,334.35,0,0,1.0984871895745325,1.4041362904937689,95,Mangroves,FAILED_TILE,55155.38363620173,55.15538363620173,1264776476,way,,Power Plant,Power Plant,HIGHER_RELEVANCE,0,0,0,0,0,55155.38363620173,55.15538363620173,1264776476,,Power Plant,0,0,0,0,0,0.3638431319915539,MEDIUM,False,FAILED_TILE: Tuticorin region - major port/industrial zone with no OSM coverage; High FRP=5.5 MW; Landcover=Mangroves,UNVERIFIED,Other/Unclassified,353,REAL_CDSE_SUCCESS,True,,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-12-08T05:11:19.024000Z,14c71f57-490e-479a-bbfa-2471033861b3,S2B_MSIL2A_20241208T051119_N0511_R019_T43PHK_20241208T075639.SAFE,T43PHK,18.671677,REAL_CDSE_SUCCESS,,2024-12-28T05:11:29.024000Z,d6f069e0-0460-4017-b431-02ebfcb74496,S2B_MSIL2A_20241228T051129_N0511_R019_T43PHK_20241228T071311.SAFE,T43PHK,35.693669,REAL_CDSE_SUCCESS,,2024-12-08T05:11:19.024000Z,50x50,"SCL, B04, B08, B11, B12",2376.0,95.04,SUCCESS,"[78.10831,8.65428,78.11739,8.66326]",19232.0,2024-12-28T05:11:29.024000Z,50x50,"SCL, B04, B08, B11, B12",2400.0,96.0,SUCCESS,"[78.10831,8.65428,78.11739,8.66326]",19525.0,2500.0,2500.0,0.28654529534387657,0.26961616586503284,0.3003779528683137,0.25109024688716075,0.29750869460452234,0.23137863167783568,-0.5102040816326531,-0.3797634691195795,0.7787561915244909,0.8010707241476472,0.26440141638822173,0.2106288693213969,0.2357057957222507,0.1782612330736159,0.1686387525887114,0.15353220331826722,-0.3002291825821238,-0.2710933599600599,0.7834474175482266,0.8060244952002649,0.0906739688597464,0.052062402535685504,0.07364174627187128,0.030036977944702288,0.12992120244226663,0.11877447781615413,-0.39934426229508196,-0.3685121107266436,0.6029082774049217,0.6658008658008658,0.6932260242285393,0.7206390450798865,0.7076022729112366,0.7301057455850375,0.10056020430519445,0.09047609892289223,968.310606060606,1238.0154166666666,2031.2727272727273,2185.744583333333,1688.830808080808,1970.9620833333333,1172.5058922558921,1445.3533333333332,SUCCESS,,-0.01692912947884373,0.01692912947884373,-0.04928770598115295,0.04928770598115295,-0.05377254706682483,0.05377254706682483,-0.05744456264863479,0.05744456264863479,-0.0386115663240609,0.0386115663240609,-0.043604768327168995,0.043604768327168995,0.027413020851347225,0.027413020851347225,0.02250347267380093,0.02250347267380093
FIRMS_TN_0182,182,2024-12-28,737,2024-12-28T07:00,8.65828,78.11434,N20,VIIRS_N20,VIIRS,6.71,333.53,293.5,40.02999999999997,0.0201181303031211,2.0425181875752383,n,1.0,D,1,0,0,2,2,0,12.23,334.35,0,0,0.9921477777396174,1.9255298414529287,80,Permanent water bodies,FAILED_TILE,55134.39880952583,55.13439880952584,1264776476,way,,Power Plant,Power Plant,HIGHER_RELEVANCE,0,0,0,0,0,55134.39880952583,55.13439880952584,1264776476,,Power Plant,0,0,0,0,0,0.3734018366757268,MEDIUM,False,FAILED_TILE: Tuticorin region - major port/industrial zone with no OSM coverage; High FRP=6.7 MW; Landcover=Permanent water bodies,UNVERIFIED,Other/Unclassified,362,CLOUD_REJECTED,True,Post cloud-rejected (Valid surface pixel coverage too low: 0.0% (threshold: 70.0%)); pre: MISSING_PRODUCT,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,MISSING_PRODUCT,No usable pre-event product was matched in catalogue search.,2025-01-02T05:12:21.024000Z,b92d5ca1-9333-4537-8b16-ee3a208cabe1,S2A_MSIL2A_20250102T051221_N0511_R019_T43PHK_20250102T080951.SAFE,T43PHK,39.829311,CLOUD_REJECTED,Valid surface pixel coverage too low: 0.0% (threshold: 70.0%),,50x50,"SCL, B04, B08, B11, B12",,,,,,2025-01-02T05:12:21.024000Z,50x50,"SCL, B04, B08, B11, B12",0.0,0.0,ALL_PIXELS_MASKED,"[78.10980,8.65379,78.11888,8.66277]",19187.0,,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_BOTH,Pre features are None and post features are unusable.,,,,,,,,,,,,,,,,
FIRMS_TN_0037,37,2024-11-09,756,2024-11-09T07:00,12.76743,77.78644,N20,VIIRS_N20,VIIRS,2.54,334.85,299.92,34.93000000000001,0.0075854860385247,1.264126727145683,n,1.0,D,1,0,1,7,2,0,22.13,341.06142857142856,0,0,-1.5139240893095471,-0.5505736609392099,60,Bare/sparse vegetation,FAILED_TILE,59342.10148951248,59.34210148951248,1134097095,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,0,0,0,0,0,60330.52020290047,60.33052020290047,971761880,,Mining & Quarry,0,0,0,0,0,0.3034279540001861,MEDIUM,False,FAILED_TILE: OSM coverage unavailable - industrial context unknown; Moderate FRP=2.5 MW; Landcover=Bare/sparse vegetation,UNVERIFIED,Agricultural Burning,313,PARTIAL_PRE_ONLY,True,Pre successful; post unavailable: MISSING_PRODUCT (No usable post-event product was matched in catalogue search.),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-11-08T05:09:29.024000Z,557d45d3-c9f9-40cd-b1d7-b84753f0dcab,S2B_MSIL2A_20241108T050929_N0511_R019_T43PGQ_20241108T073629.SAFE,T43PGQ,17.153598,REAL_CDSE_SUCCESS,,,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2024-11-08T05:09:29.024000Z,50x50,"SCL, B04, B08, B11, B12",2487.0,99.48,SUCCESS,"[77.78183,12.76294,77.79105,12.77192]",19961.0,,50x50,"SCL, B04, B08, B11, B12",,,,,,2500.0,,0.39400282473562065,,0.3886829750432419,,0.2603476958845695,,-0.11773842808325567,,0.8885657431501607,,0.15104557376330469,,0.14893617021276595,,0.2877135122097818,,-0.4609521070041709,,0.7818302387267905,,0.03268487023556201,,0.027205695397915078,,0.20429374472339512,,-0.45806824754193176,,0.6093916755602988,,0.7871677683457821,,0.7740091463414634,,0.1845702178910205,,1118.2496984318457,,2613.7362283876155,,2462.8464012866907,,2029.449135504624,,MISSING_POST,Post Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
FIRMS_TN_0042,42,2024-11-09,2029,2024-11-09T20:00,12.85108,79.90353,N20,VIIRS_N20,VIIRS,1.68,311.16,282.75,28.410000000000025,0.0053991515618974,0.9858167945227652,n,1.0,N,0,0,1,14,3,1,25.28,311.8492857142857,0,0,-0.1077497834280404,-0.1120631336216028,60,Bare/sparse vegetation,FAILED_TILE,75428.18693713525,75.42818693713525,1026841614,way,,Mining,Mining & Quarry,HIGHER_RELEVANCE,0,0,0,0,0,75428.18693713525,75.42818693713525,1026841614,,Mining & Quarry,0,0,0,0,0,0.3125510158765023,MEDIUM,False,FAILED_TILE: Chennai/Ennore coast - high-density industrial region with no OSM coverage; Low FRP=1.68 MW; Recurring detection (3 active days); Landcover=Bare/sparse vegetation,UNVERIFIED,Other/Unclassified,313,CLOUD_REJECTED,True,Both pre and post observations rejected due to cloud/shadow cover.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-11-05T04:59:09.024000Z,1e889314-5aab-4145-96e8-21247876b144,S2B_MSIL2A_20241105T045909_N0511_R119_T44PLV_20241105T072318.SAFE,T44PLV,28.828275,CLOUD_REJECTED,Valid surface pixel coverage too low: 49.9% (threshold: 70.0%),2024-11-10T05:00:31.024000Z,085ba1e2-6fc4-4c9f-8647-e10a8b03412f,S2A_MSIL2A_20241110T050031_N0511_R119_T44PLV_20241110T082750.SAFE,T44PLV,32.278866,CLOUD_REJECTED,Valid surface pixel coverage too low: 26.0% (threshold: 70.0%),2024-11-05T04:59:09.024000Z,50x50,"SCL, B04, B08, B11, B12",1247.0,49.88,SUCCESS,"[79.89892,12.84659,79.90814,12.85557]",20602.0,2024-11-10T05:00:31.024000Z,50x50,"SCL, B04, B08, B11, B12",650.0,26.0,SUCCESS,"[79.89892,12.84659,79.90814,12.85557]",20284.0,2500.0,2500.0,0.48592679562353464,0.49584596723250796,0.5340622371740958,0.5487153973213397,0.14593069402595826,0.15723179544470595,0.03978779840848806,0.0005878894767783657,0.7134366376565485,0.7410881801125704,0.31082858420930204,0.31598495152195755,0.3325325325325325,0.34173104615150907,0.1382524946182066,0.14419304564882632,-0.08244638602065131,-0.16885149677166894,0.6129455499671987,0.6568819308545336,0.09072426759482947,0.08748322481215914,0.09363295880149813,0.0942086020469841,0.08962287391803582,0.0945170702655124,-0.19434306569343066,-0.19347980155917788,0.4355927626248987,0.37001078748651567,0.6298483867132163,0.6185058587860367,0.6093591047812817,0.594323614641852,0.09651365523817469,0.09898649253465264,1023.1547714514836,1065.9184615384615,3008.672012830794,3033.2523076923076,2498.9013632718525,2572.6569230769232,1578.6792301523658,1613.206153846154,INSUFFICIENT_VALID_DATA,"Valid pixel coverage too low: pre=49.9%, post=26.0% (threshold=70.0%).",,,,,,,,,,,,,,,,
FIRMS_TN_0297,297,2025-01-08,730,2025-01-08T07:00,12.03586,79.81428,N20,VIIRS_N20,VIIRS,13.34,339.16,296.26,42.900000000000034,0.0393324684514683,2.663052835171474,n,1.0,D,1,0,0,2,2,0,17.85,336.06,0,1,1.3572031976363006,4.830436768225389,10,Tree cover,COVERED,2614.7746517408978,2.614774651740898,58389257,way,Workshop,Industrial Works,Manufacturing & Industrial Works,HIGHER_RELEVANCE,0,0,0,1,1,2614.7746517408978,2.614774651740898,58389257,Workshop,Manufacturing & Industrial Works,0,0,0,1,1,0.5671179099357284,HIGH,False,Within 5 km of HIGHER_RELEVANCE facility: Manufacturing & Industrial Works (Workshop); Very high FRP=13.3 MW; Landcover=Tree cover,UNVERIFIED,Other/Unclassified,373,PARTIAL_PRE_ONLY,True,Pre successful; post unavailable: MISSING_PRODUCT (No usable post-event product was matched in catalogue search.),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2025-01-04T05:01:19.024000Z,d63e0c34-c73a-430d-80b5-43c855a06830,S2B_MSIL2A_20250104T050119_N0511_R119_T44PLU_20250104T132122.SAFE,T44PLU,15.663002,REAL_CDSE_SUCCESS,,,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2025-01-04T05:01:19.024000Z,50x50,"SCL, B04, B08, B11, B12",2500.0,100.0,SUCCESS,"[79.80969,12.03137,79.81887,12.04035]",19149.0,,50x50,"SCL, B04, B08, B11, B12",,,,,,2500.0,,0.7339133988612864,,0.7871155568164692,,0.1826806108661109,,0.14248151191454397,,0.9733141002524341,,0.4211166739745176,,0.46916218554347844,,0.22291660508495448,,-0.28883495145631066,,0.7126948775055679,,0.1750525851061343,,0.19740078791045398,,0.19144440446049005,,-0.37459978655282816,,0.4618943267591916,,0.5618532209624404,,0.5414243838270825,,0.08829639854658689,,439.082,,2723.7992,,1999.3456,,1179.722,,MISSING_POST,Post Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
FIRMS_TN_0138,138,2024-12-16,802,2024-12-16T08:00,11.48131,77.4594,N20,VIIRS_N20,VIIRS,8.59,342.79,300.67,42.120000000000005,0.0250590740686717,2.2607208888953467,n,1.0,D,1,0,0,1,1,0,8.59,342.79,0,1,1.5925764079782094,2.749244022800172,40,Cropland,COVERED,2295.5884972236377,2.295588497223638,1440947503,node,Coirmedia,Industrial Works,Manufacturing & Industrial Works,HIGHER_RELEVANCE,0,0,0,1,1,2295.5884972236377,2.295588497223638,1440947503,Coirmedia,Manufacturing & Industrial Works,0,0,0,1,1,0.5351102212728059,HIGH,False,Within 5 km of HIGHER_RELEVANCE facility: Manufacturing & Industrial Works (Coirmedia); High FRP=8.6 MW; Landcover=Cropland,UNVERIFIED,Other/Unclassified,350,PARTIAL_POST_ONLY,True,Post successful; pre unavailable: CLOUD_REJECTED (Valid surface pixel coverage too low: 47.8% (threshold: 70.0%)),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-12-08T05:11:19.024000Z,74929c06-ad5d-47ca-b889-54bda6b13eb8,S2B_MSIL2A_20241208T051119_N0511_R019_T43PGN_20241208T075639.SAFE,T43PGN,34.568959,CLOUD_REJECTED,Valid surface pixel coverage too low: 47.8% (threshold: 70.0%),2024-12-18T05:11:29.024000Z,21ce1078-4d36-419b-b0d1-bd2e221808b5,S2B_MSIL2A_20241218T051129_N0511_R019_T43PGN_20241218T094845.SAFE,T43PGN,17.029287,REAL_CDSE_SUCCESS,,2024-12-08T05:11:19.024000Z,50x50,"SCL, B04, B08, B11, B12",1196.0,47.84,SUCCESS,"[77.45482,11.47682,77.46398,11.48580]",20005.0,2024-12-18T05:11:29.024000Z,50x50,"SCL, B04, B08, B11, B12",2473.0,98.92,SUCCESS,"[77.45482,11.47682,77.46398,11.48580]",19357.0,2500.0,2500.0,0.38133968401038054,0.4872114413530264,0.3461886643487545,0.46401225114854516,0.1301880398741061,0.1615904776921983,0.03865979381443299,0.06277556162082722,0.7685447030672178,0.8749437696806118,0.08023376768803409,0.22666892758890805,0.027766284787910836,0.22770058269834156,0.18541594544090997,0.2154820268924575,-0.2801285484734869,-0.2884864165588616,0.6695812241141279,0.7458033573141487,-0.08216671530891927,0.03786916696169098,-0.12571020649672388,0.027575641516660282,0.14446509337969884,0.17057512885976214,-0.3138979643126414,-0.34331038611194253,0.42470056940899276,0.4920812371902366,0.7177970878144186,0.6706426504197149,0.7382275360996287,0.6666666666666666,0.08312565799029614,0.09803669917945393,1199.4339464882944,771.2721391023049,2665.367892976589,2311.1496158511927,3207.160535117057,2167.48726243429,2346.351170568562,1490.733926405176,INSUFFICIENT_VALID_DATA,"Valid pixel coverage too low: pre=47.8%, post=98.9% (threshold=70.0%).",,,,,,,,,,,,,,,,
FIRMS_TN_0030,30,2024-11-08,2048,2024-11-08T20:00,11.18483,79.0995,N20,VIIRS_N20,VIIRS,0.85,302.91,279.77,23.140000000000043,0.0028061140272688,0.6151856390902334,n,1.0,N,0,0,1,20,10,1,18.59,305.3995,0,0,-0.7781149502413648,-0.3306621048111949,50,Built-up,COVERED,336.38136249246065,0.3363813624924606,340697977,way,,Other Industrial,Substation & Electrical Infrastructure,CAUTION_LOWER_RELEVANCE,1,1,1,1,1,605.7154374334536,0.6057154374334537,1468887795,,Power Plant,0,1,1,1,1,0.5034808062154134,HIGH,False,Within 500 m of CAUTION_LOWER_RELEVANCE facility: Substation & Electrical Infrastructure; Low FRP=0.85 MW; Persistent location (active 10 days); Landcover=Built-up,UNVERIFIED,Other/Unclassified,312,REAL_CDSE_SUCCESS,True,,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-29T05:08:39.024000Z,0fac1335-d084-46ab-a81f-d2435afe4a07,S2B_MSIL2A_20241029T050839_N0511_R019_T44PKT_20241029T073358.SAFE,T44PKT,5.90982,REAL_CDSE_SUCCESS,,2024-11-10T05:00:31.024000Z,0d5ec360-2362-4138-885e-502f59cb421b,S2A_MSIL2A_20241110T050031_N0511_R119_T44PKT_20241110T082750.SAFE,T44PKT,9.225395,REAL_CDSE_SUCCESS,,2024-10-29T05:08:39.024000Z,50x50,"SCL, B04, B08, B11, B12",2482.0,99.28,SUCCESS,"[79.09492,11.18034,79.10408,11.18932]",19625.0,2024-11-10T05:00:31.024000Z,50x50,"SCL, B04, B08, B11, B12",2259.0,90.36,SUCCESS,"[79.09492,11.18034,79.10408,11.18932]",20008.0,2500.0,2500.0,0.45112717660806145,0.4370456062201246,0.48403826877883527,0.4328600405679513,0.2340038954047058,0.2204334725876282,-0.161,-0.2417633410672854,0.8692682926829268,0.8604255319148936,0.17836152671035582,0.22951902735830323,0.2011168629958287,0.2342477140482128,0.25230148416763887,0.22378920262625268,-0.7537486800422386,-0.5897435897435898,0.6831302116741501,0.6993210475266731,0.04016697213492949,0.06694826629885799,0.047987387420938624,0.06878306878306878,0.16536416489133438,0.1488980543581106,-0.4525660964230171,-0.40633192175841903,0.4158249158249158,0.44031568562972706,0.7679290106005162,0.7214682521838858,0.7154946403741143,0.6941356841701801,0.2307798466457113,0.19029517510875835,930.3267526188557,1222.2961487383798,2502.0100725221596,3029.9566179725543,2267.128525382756,2638.0814519698984,1755.3537469782434,1941.8468348826914,SUCCESS,,-0.014081570387936837,0.014081570387936837,-0.05117822821088397,0.05117822821088397,0.05115750064794741,0.05115750064794741,0.033130851052384086,0.033130851052384086,0.026781294163928493,0.026781294163928493,0.020795681362130156,0.020795681362130156,-0.04646075841663044,0.04646075841663044,-0.021358956203934132,0.021358956203934132
FIRMS_TN_0300,300,2025-01-08,730,2025-01-08T07:00,9.97193,77.53833,N20,VIIRS_N20,VIIRS,5.18,335.02,295.7,39.31999999999999,0.0154617634768073,1.8213182714696,n,1.0,D,1,0,0,1,1,0,5.18,335.02,0,0,1.0887610238579222,1.2551667045054378,30,Grassland,COVERED,973.10224446551,0.97310224446551,4979969193,node,,Power Plant,Power Plant,HIGHER_RELEVANCE,0,1,1,1,1,973.10224446551,0.97310224446551,4979969193,,Power Plant,0,1,1,1,1,0.5084188159177419,HIGH,False,Within 2 km of HIGHER_RELEVANCE facility: Power Plant; High FRP=5.2 MW; Landcover=Grassland,UNVERIFIED,Other/Unclassified,373,PARTIAL_PRE_ONLY,True,Pre successful; post unavailable: CLOUD_REJECTED (Valid surface pixel coverage too low: 50.3% (threshold: 70.0%)),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2025-01-07T05:11:19.024000Z,986845cd-c43e-4074-8a09-a5ae2b1de58a,S2B_MSIL2A_20250107T051119_N0511_R019_T43PGM_20250107T080132.SAFE,T43PGM,23.937137,REAL_CDSE_SUCCESS,,2025-01-17T05:10:39.024000Z,ed7422ed-03ac-42b4-b14a-fa9fd8d94d7f,S2B_MSIL2A_20250117T051039_N0511_R019_T43PGM_20250117T093134.SAFE,T43PGM,39.63896,CLOUD_REJECTED,Valid surface pixel coverage too low: 50.3% (threshold: 70.0%),2025-01-07T05:11:19.024000Z,50x50,"SCL, B04, B08, B11, B12",2496.0,99.84,SUCCESS,"[77.53377,9.96744,77.54289,9.97642]",19257.0,2025-01-17T05:10:39.024000Z,50x50,"SCL, B04, B08, B11, B12",1258.0,50.32,SUCCESS,"[77.53377,9.96744,77.54289,9.97642]",19926.0,2500.0,2500.0,0.47035645512723406,0.37632779227571933,0.48515991823772064,0.3871337256731226,0.15443544436638357,0.09827547253444967,-0.1404109589041096,0.10363068045203173,0.8191021126760564,0.6331624693559171,0.18847393920758465,0.14718023103878436,0.18740476770865983,0.15173817350769805,0.15840556720456161,0.1375745164028178,-0.29262564584311884,-0.16439104314582195,0.6540362438220758,0.6200545702592087,0.004686541078095083,-0.02455040890302291,-0.01003896530731262,-0.03360119429054044,0.1116406991897321,0.09090831727717631,-0.41332294507206857,-0.21417565485362094,0.41375264022529923,0.33165124754695824,0.6878909831255668,0.7083809397236532,0.672794079785875,0.6912442208958445,0.0915322622137726,0.08901551705399363,1008.9679487179487,1288.3473767885532,2752.2728365384614,2817.70826709062,2745.0148237179487,2988.914149443561,1920.7640224358975,2146.9093799682037,INSUFFICIENT_VALID_DATA,"Valid pixel coverage too low: pre=99.8%, post=50.3% (threshold=70.0%).",,,,,,,,,,,,,,,,
FIRMS_TN_0459,459,2024-12-15,756,2024-12-15T07:00,9.81504,78.69252,N,VIIRS_SUOMI_NPP,VIIRS,3.73,346.03,296.15,49.88,0.0107794121896945,1.5539252025038417,n,1.0,D,1,0,0,2,1,0,5.92,344.17999999999995,0,0,1.8026615874569352,0.619855234849319,40,Cropland,COVERED,500.17475120960415,0.5001747512096042,1009975066,way,,Power Plant,Power Plant,HIGHER_RELEVANCE,0,1,1,1,1,500.17475120960415,0.5001747512096042,1009975066,,Power Plant,0,1,1,1,1,0.5088957965801053,HIGH,False,Within 2 km of HIGHER_RELEVANCE facility: Power Plant; Moderate FRP=3.7 MW; Landcover=Cropland,UNVERIFIED,Other/Unclassified,349,REAL_CDSE_SUCCESS,True,,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-12-10T05:02:11.024000Z,123b19d1-ca7e-4353-8520-7c151935586d,S2A_MSIL2A_20241210T050211_N0511_R119_T43PHL_20241210T074050.SAFE,T43PHL,32.803062,REAL_CDSE_SUCCESS,,2024-12-18T05:11:29.024000Z,16ce6dec-6db5-43e0-a5be-0f672f61a2e6,S2B_MSIL2A_20241218T051129_N0511_R019_T44PKR_20241218T094845.SAFE,T44PKR,18.424445,REAL_CDSE_SUCCESS,,2024-12-10T05:02:11.024000Z,50x50,"SCL, B04, B08, B11, B12",2498.0,99.92,SUCCESS,"[78.68796,9.81055,78.69708,9.81953]",19557.0,2024-12-18T05:11:29.024000Z,50x50,"SCL, B04, B08, B11, B12",2500.0,100.0,SUCCESS,"[78.68796,9.81055,78.69708,9.81953]",19362.0,2500.0,2500.0,0.4926078275778419,0.5216840801068787,0.5184965831758604,0.5586822919016561,0.1540715538387644,0.17064049252273403,-0.019728506787330315,-0.03912148249828414,0.8316400580551524,0.8546712802768166,0.26441890381600375,0.2818065055139681,0.27292933253213575,0.31855018894235265,0.17974033740424547,0.19938764448939483,-0.1769268056228793,-0.22145328719723184,0.7698056801195815,0.6945973496432212,0.04309775960692344,0.048841234747976345,0.06406751964415212,0.08337141880971424,0.16837327201566468,0.17767887517386824,-0.46293706293706294,-0.47324414715719065,0.5270315091210613,0.4329779995463824,0.6275969940629659,0.6076865938525888,0.6212029080635574,0.5911380517997296,0.0929379926665635,0.08385996317287867,1103.3094475580465,870.9216,3214.5300240192155,2872.5992,2968.900320256205,2602.1232,1875.3098478783027,1596.5952,SUCCESS,,0.02907625252903684,0.02907625252903684,0.04018570872579563,0.04018570872579563,0.017387601697964328,0.017387601697964328,0.0456208564102169,0.0456208564102169,0.005743475141052903,0.005743475141052903,0.01930389916556212,0.01930389916556212,-0.019910400210377044,0.019910400210377044,-0.03006485626382782,0.03006485626382782
FIRMS_TN_0015,15,2024-11-05,730,2024-11-05T07:00,10.65226,78.76717,N20,VIIRS_N20,VIIRS,7.76,336.8,295.25,41.55000000000001,0.0230403800475059,2.1701959049483,n,1.0,D,1,0,1,1,1,0,7.76,336.8,0,1,1.2041781903616702,2.385582974652187,30,Grassland,COVERED,210.5924139308873,0.2105924139308873,375950947,way,,Other Industrial,Industrial Area / Zone,GENERAL_CONTEXT,1,1,1,1,1,4298.344321437069,4.298344321437069,1009648240,,Power Plant,0,0,0,1,1,0.5296206436020467,HIGH,False,Within 500 m of GENERAL_CONTEXT facility: Industrial Area / Zone; High FRP=7.8 MW; Landcover=Grassland,UNVERIFIED,Agricultural Burning,309,PARTIAL_PRE_ONLY,True,Pre successful; post unavailable: MISSING_PRODUCT (No usable post-event product was matched in catalogue search.),1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",2024-10-29T05:08:39.024000Z,7f584f92-5cfe-4b10-8ad8-759b3d920ef6,S2B_MSIL2A_20241029T050839_N0511_R019_T44PKS_20241029T073358.SAFE,T44PKS,28.677183,REAL_CDSE_SUCCESS,,,,,,,MISSING_PRODUCT,No usable post-event product was matched in catalogue search.,2024-10-29T05:08:39.024000Z,50x50,"SCL, B04, B08, B11, B12",2392.0,95.68,SUCCESS,"[78.76260,10.64777,78.77174,10.65675]",19638.0,,50x50,"SCL, B04, B08, B11, B12",,,,,,2500.0,,0.3649248091093781,,0.301576054764529,,0.21370899788162595,,-0.04815864022662889,,0.9070904645476773,,0.074320672302173,,0.012007662654420354,,0.20889009199580486,,-0.23463548146305052,,0.6233254531126872,,-0.03605631907345445,,-0.07091185926758502,,0.1541932817172891,,-0.3314496848511193,,0.4456140350877193,,0.7999514948425301,,0.8246868471460331,,0.11128047607214037,,1239.0422240802675,,2451.127508361204,,2739.3102006688964,,2272.2232441471574,,MISSING_POST,Post Step 3A features are unusable (status: NONE).,,,,,,,,,,,,,,,,
