event_id,candidate_priority,landcover_class,distance_to_facility_km,frp,latitude,longitude,acquisition_date,selection_status,failure_reason,selected_pre_image_date,pre_days_from_event,pre_tile_id,pre_cloud_cover,pre_selection_reason,selected_post_image_date,post_days_from_event,post_tile_id,post_cloud_cover,post_selection_reason,pre_product_name,post_product_name,pre_product_id,post_product_id
FIRMS_TN_0007,HIGH,Built-up,0.36,1.23,11.18312,79.09965,2024-11-04,SUCCESS_BOTH_FOUND,,2024-10-29T05:08:39.024000Z,-6.0,T44PKT,5.90982,"Selected observation -6 days from event (tile cloud=5.9%, candidate 1 of 2 usable)",2024-11-10T05:00:31.024000Z,6.0,T44PKT,9.225395,"Selected observation +6 days from event (tile cloud=9.2%, candidate 1 of 1 usable)",S2B_MSIL2A_20241029T050839_N0511_R019_T44PKT_20241029T073358.SAFE,S2A_MSIL2A_20241110T050031_N0511_R119_T44PKT_20241110T082750.SAFE,0fac1335-d084-46ab-a81f-d2435afe4a07,0d5ec360-2362-4138-885e-502f59cb421b
FIRMS_TN_0087,HIGH,Cropland,0.298,1.08,11.18143,79.0966,2024-12-04,SUCCESS_POST_ONLY,Pre-event image unavailable: All 8 observation(s) exceeded cloud threshold (40.0%); lowest was 55.4%,,,,,All 8 observation(s) exceeded cloud threshold (40.0%); lowest was 55.4%,2024-12-08T05:11:19.024000Z,4.0,T44PKT,26.985562,"Selected observation +4 days from event (tile cloud=27.0%, candidate 1 of 1 usable)",,S2B_MSIL2A_20241208T051119_N0511_R019_T44PKT_20241208T075639.SAFE,,d78f129c-2ac5-4fce-842c-814b32da653a
FIRMS_TN_0001,HIGH,Tree cover,2.827,5.15,9.29417,79.06924,2024-11-02,SUCCESS_BOTH_FOUND,,2024-10-31T04:59:41.024000Z,-2.0,T44PKR,29.073372,"Selected observation -2 days from event (tile cloud=29.1%, candidate 1 of 2 usable)",2024-11-05T04:59:09.024000Z,3.0,T44PKR,24.038155,"Selected observation +3 days from event (tile cloud=24.0%, candidate 1 of 2 usable)",S2A_MSIL2A_20241031T045941_N0511_R119_T44PKR_20241031T090153.SAFE,S2B_MSIL2A_20241105T045909_N0511_R119_T44PKR_20241105T072318.SAFE,95a3c91d-8b60-4d1e-a0cd-6cc7a520a7ca,d3f1d7f5-1ef2-4f47-9a87-02c6c5ab5104
FIRMS_TN_0297,HIGH,Tree cover,2.615,13.34,12.03586,79.81428,2025-01-08,SUCCESS_PRE_ONLY,Post-event image unavailable: All 2 observation(s) exceeded cloud threshold (40.0%); lowest was 82.8%,2025-01-04T05:01:19.024000Z,-4.0,T44PLU,15.663002,"Selected observation -4 days from event (tile cloud=15.7%, candidate 1 of 1 usable)",,,,,All 2 observation(s) exceeded cloud threshold (40.0%); lowest was 82.8%,S2B_MSIL2A_20250104T050119_N0511_R119_T44PLU_20250104T132122.SAFE,,d63e0c34-c73a-430d-80b5-43c855a06830,
FIRMS_TN_0000,MEDIUM,Built-up,0.328,1.16,11.65394,78.02792,2024-11-01,SUCCESS_PRE_ONLY,Post-event image unavailable: All 5 observation(s) exceeded cloud threshold (40.0%); lowest was 50.7%,2024-10-29T05:08:39.024000Z,-3.0,T43PHN,27.27344,"Selected observation -3 days from event (tile cloud=27.3%, candidate 1 of 1 usable)",,,,,All 5 observation(s) exceeded cloud threshold (40.0%); lowest was 50.7%,S2B_MSIL2A_20241029T050839_N0511_R019_T43PHN_20241029T073358.SAFE,,20f7e33a-a236-463a-9a13-5830416b1388,
FIRMS_TN_0004,MEDIUM,Cropland,114.899,4.01,13.20969,79.91416,2024-11-04,SUCCESS_BOTH_FOUND,,2024-10-31T04:59:41.024000Z,-4.0,T44PLV,34.202874,"Selected observation -4 days from event (tile cloud=34.2%, candidate 1 of 2 usable)",2024-11-05T04:59:09.024000Z,1.0,T44PLV,28.828275,"Selected observation +1 days from event (tile cloud=28.8%, candidate 1 of 2 usable)",S2A_MSIL2A_20241031T045941_N0511_R119_T44PLV_20241031T090153.SAFE,S2B_MSIL2A_20241105T045909_N0511_R119_T44PLV_20241105T072318.SAFE,d0698e73-4292-4a5b-8f43-42670627e8bb,1e889314-5aab-4145-96e8-21247876b144
FIRMS_TN_0046,MEDIUM,Tree cover,10.369,8.09,11.17264,79.26752,2024-11-10,SUCCESS_PRE_ONLY,Post-event image unavailable: All 3 observation(s) exceeded cloud threshold (40.0%); lowest was 96.1%,2024-11-05T04:59:09.024000Z,-5.0,T44PLT,36.305603,"Selected observation -5 days from event (tile cloud=36.3%, candidate 1 of 2 usable)",,,,,All 3 observation(s) exceeded cloud threshold (40.0%); lowest was 96.1%,S2B_MSIL2A_20241105T045909_N0511_R119_T44PLT_20241105T072318.SAFE,,a22e924b-3544-4afa-8918-c011b4a2e8d1,
FIRMS_TN_0017,MEDIUM,Shrubland,137.472,1.09,13.39262,80.10134,2024-11-05,SUCCESS_BOTH_FOUND,,2024-10-31T04:59:41.024000Z,-5.0,T44PLV,34.202874,"Selected observation -5 days from event (tile cloud=34.2%, candidate 1 of 5 usable)",2024-11-10T05:00:31.024000Z,5.0,T44PMV,24.296539,"Selected observation +5 days from event (tile cloud=24.3%, candidate 1 of 2 usable)",S2A_MSIL2A_20241031T045941_N0511_R119_T44PLV_20241031T090153.SAFE,S2A_MSIL2A_20241110T050031_N0511_R119_T44PMV_20241110T082750.SAFE,d0698e73-4292-4a5b-8f43-42670627e8bb,19b7ea29-4766-4adf-b72a-c63aba91de5a
FIRMS_TN_0038,LOW,Cropland,71.318,2.37,12.79986,77.9681,2024-11-09,SUCCESS_PRE_ONLY,Post-event image unavailable: All 3 observation(s) exceeded cloud threshold (40.0%); lowest was 73.3%,2024-11-08T05:09:29.024000Z,-1.0,T43PHQ,36.290202,"Selected observation -1 days from event (tile cloud=36.3%, candidate 1 of 3 usable)",,,,,All 3 observation(s) exceeded cloud threshold (40.0%); lowest was 73.3%,S2B_MSIL2A_20241108T050929_N0511_R019_T43PHQ_20241108T073629.SAFE,,bfb0f664-5e94-4009-a120-34ec67cffdd4,
FIRMS_TN_0002,LOW,Shrubland,9.091,2.77,10.26853,78.83812,2024-11-03,SUCCESS_BOTH_FOUND,,2024-10-29T05:08:39.024000Z,-5.0,T44PKS,28.677183,"Selected observation -5 days from event (tile cloud=28.7%, candidate 1 of 2 usable)",2024-11-05T04:59:09.024000Z,2.0,T44PKS,26.063955,"Selected observation +2 days from event (tile cloud=26.1%, candidate 1 of 2 usable)",S2B_MSIL2A_20241029T050839_N0511_R019_T44PKS_20241029T073358.SAFE,S2B_MSIL2A_20241105T045909_N0511_R119_T44PKS_20241105T072318.SAFE,7f584f92-5cfe-4b10-8ad8-759b3d920ef6,63040e56-a51e-4b54-9953-f8f0cec46b14
