event_id,latitude,longitude,acq_date,candidate_priority,landcover_class,frp,processing_status,is_real_cdse_data,failure_reason,aoi_dimensions_m,raster_dimensions_px,bands_requested,selected_pre_image_date,pre_product_id,pre_product_name,pre_tile_id,pre_cloud_cover_catalogue,pre_observation_status,pre_observation_failure_reason,selected_post_image_date,post_product_id,post_product_name,post_tile_id,post_cloud_cover_catalogue,post_observation_status,post_observation_failure_reason,pre_obs_date,pre_raster_dimensions,pre_bands_requested,s2_pre_spectral_valid_pixels,s2_pre_spectral_valid_pct,s2_pre_feature_status,post_obs_date,post_raster_dimensions,post_bands_requested,s2_post_spectral_valid_pixels,s2_post_spectral_valid_pct,s2_post_feature_status,s2_pre_total_pixels,s2_post_total_pixels,s2_pre_ndvi_mean,s2_post_ndvi_mean,s2_pre_ndvi_median,s2_post_ndvi_median,s2_pre_ndvi_std,s2_post_ndvi_std,s2_pre_ndvi_min,s2_post_ndvi_min,s2_pre_ndvi_max,s2_post_ndvi_max,s2_pre_nbr_mean,s2_post_nbr_mean,s2_pre_nbr_median,s2_post_nbr_median,s2_pre_nbr_std,s2_post_nbr_std,s2_pre_nbr_min,s2_post_nbr_min,s2_pre_nbr_max,s2_post_nbr_max,s2_pre_ndwi_mean,s2_post_ndwi_mean,s2_pre_ndwi_median,s2_post_ndwi_median,s2_pre_ndwi_std,s2_post_ndwi_std,s2_pre_ndwi_min,s2_post_ndwi_min,s2_pre_ndwi_max,s2_post_ndwi_max,s2_pre_swir_ratio_mean,s2_post_swir_ratio_mean,s2_pre_swir_ratio_median,s2_post_swir_ratio_median,s2_pre_swir_ratio_std,s2_post_swir_ratio_std,s2_pre_b04_mean,s2_post_b04_mean,s2_pre_b08_mean,s2_post_b08_mean,s2_pre_b11_mean,s2_post_b11_mean,s2_pre_b12_mean,s2_post_b12_mean,s2_change_status,s2_change_failure_reason,s2_dndvi_mean,s2_abs_dndvi_mean,s2_dndvi_median,s2_abs_dndvi_median,s2_dnbr_mean,s2_abs_dnbr_mean,s2_dnbr_median,s2_abs_dnbr_median,s2_dndwi_mean,s2_abs_dndwi_mean,s2_dndwi_median,s2_abs_dndwi_median,s2_dswir_ratio_mean,s2_abs_dswir_ratio_mean,s2_dswir_ratio_median,s2_abs_dswir_ratio_median
FIRMS_TN_0000,11.65394,78.02792,2024-11-01,MEDIUM,Built-up,1.16,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0001,9.29417,79.06924,2024-11-02,HIGH,Tree cover,5.15,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0002,10.26853,78.83812,2024-11-03,LOW,Shrubland,2.77,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0003,11.18232,79.09965,2024-11-03,MEDIUM,Built-up,1.14,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0004,13.20969,79.91416,2024-11-04,MEDIUM,Cropland,4.01,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0005,12.2742,79.54851,2024-11-04,MEDIUM,Cropland,5.64,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0006,12.2748,79.55231,2024-11-04,MEDIUM,Cropland,5.52,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0007,11.18312,79.09965,2024-11-04,HIGH,Built-up,1.23,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0008,11.81736,77.91756,2024-11-04,HIGH,Built-up,1.06,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0009,12.87509,79.88728,2024-11-04,LOW,Grassland,1.03,AUTH_REQUIRED,False,CDSE OAuth2 credentials not configured in environment.,1000m x 1000m,50x50,"SCL, B04, B08, B11, B12",,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,,,,,AUTH_REQUIRED,CDSE OAuth2 credentials not configured in environment.,,50x50,"SCL, B04, B08, B11, B12",,,,,50x50,"SCL, B04, B08, B11, B12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
