event_id,latitude,longitude,firms_acq_date,candidate_priority,landcover_class,frp,processing_status,is_real_cdse_data,failure_reason,selected_pre_image_date,pre_product_id,pre_product_name,pre_tile_id,pre_observation_status,pre_observation_failure_reason,selected_post_image_date,post_product_id,post_product_name,post_tile_id,post_observation_status,post_observation_failure_reason,s2_pre_feature_status,s2_post_feature_status,s2_pre_feature_failure_reason,s2_post_feature_failure_reason,s2_pre_total_pixels,s2_post_total_pixels,s2_pre_spectral_valid_pixels,s2_post_spectral_valid_pixels,s2_pre_spectral_valid_pct,s2_post_spectral_valid_pct,s2_pre_ndvi_mean,s2_post_ndvi_mean,s2_pre_ndvi_median,s2_post_ndvi_median,s2_pre_ndvi_std,s2_post_ndvi_std,s2_pre_ndvi_min,s2_post_ndvi_min,s2_pre_ndvi_max,s2_post_ndvi_max,s2_pre_nbr_mean,s2_post_nbr_mean,s2_pre_nbr_median,s2_post_nbr_median,s2_pre_nbr_std,s2_post_nbr_std,s2_pre_nbr_min,s2_post_nbr_min,s2_pre_nbr_max,s2_post_nbr_max,s2_pre_ndwi_mean,s2_post_ndwi_mean,s2_pre_ndwi_median,s2_post_ndwi_median,s2_pre_ndwi_std,s2_post_ndwi_std,s2_pre_ndwi_min,s2_post_ndwi_min,s2_pre_ndwi_max,s2_post_ndwi_max,s2_pre_swir_ratio_mean,s2_post_swir_ratio_mean,s2_pre_swir_ratio_median,s2_post_swir_ratio_median,s2_pre_swir_ratio_std,s2_post_swir_ratio_std,s2_pre_b04_mean,s2_post_b04_mean,s2_pre_b08_mean,s2_post_b08_mean,s2_pre_b11_mean,s2_post_b11_mean,s2_pre_b12_mean,s2_post_b12_mean,s2_change_status,s2_change_failure_reason,s2_dndvi_mean,s2_abs_dndvi_mean,s2_dndvi_median,s2_abs_dndvi_median,s2_dnbr_mean,s2_abs_dnbr_mean,s2_dnbr_median,s2_abs_dnbr_median,s2_dndwi_mean,s2_abs_dndwi_mean,s2_dndwi_median,s2_abs_dndwi_median,s2_dswir_ratio_mean,s2_abs_dswir_ratio_mean,s2_dswir_ratio_median,s2_abs_dswir_ratio_median
FIRMS_TN_0007,11.18312,79.09965,2024-11-04,HIGH,Built-up,1.23,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-29T05:08:39.024000Z,0fac1335-d084-46ab-a81f-d2435afe4a07,S2B_MSIL2A_20241029T050839_N0511_R019_T44PKT_20241029T073358.SAFE,T44PKT,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-10T05:00:31.024000Z,0d5ec360-2362-4138-885e-502f59cb421b,S2A_MSIL2A_20241110T050031_N0511_R119_T44PKT_20241110T082750.SAFE,T44PKT,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0087,11.18143,79.0966,2024-12-04,HIGH,Cropland,1.08,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,MISSING_PRODUCT,No usable pre-event product was matched in Step 1 catalogue search.,2024-12-08T05:11:19.024000Z,d78f129c-2ac5-4fce-842c-814b32da653a,S2B_MSIL2A_20241208T051119_N0511_R019_T44PKT_20241208T075639.SAFE,T44PKT,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0001,9.29417,79.06924,2024-11-02,HIGH,Tree cover,5.15,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-31T04:59:41.024000Z,95a3c91d-8b60-4d1e-a0cd-6cc7a520a7ca,S2A_MSIL2A_20241031T045941_N0511_R119_T44PKR_20241031T090153.SAFE,T44PKR,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-05T04:59:09.024000Z,d3f1d7f5-1ef2-4f47-9a87-02c6c5ab5104,S2B_MSIL2A_20241105T045909_N0511_R119_T44PKR_20241105T072318.SAFE,T44PKR,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0297,12.03586,79.81428,2025-01-08,HIGH,Tree cover,13.34,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2025-01-04T05:01:19.024000Z,d63e0c34-c73a-430d-80b5-43c855a06830,S2B_MSIL2A_20250104T050119_N0511_R119_T44PLU_20250104T132122.SAFE,T44PLU,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,MISSING_PRODUCT,No usable post-event product was matched in Step 1 catalogue search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0000,11.65394,78.02792,2024-11-01,MEDIUM,Built-up,1.16,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-29T05:08:39.024000Z,20f7e33a-a236-463a-9a13-5830416b1388,S2B_MSIL2A_20241029T050839_N0511_R019_T43PHN_20241029T073358.SAFE,T43PHN,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,MISSING_PRODUCT,No usable post-event product was matched in Step 1 catalogue search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0004,13.20969,79.91416,2024-11-04,MEDIUM,Cropland,4.01,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-31T04:59:41.024000Z,d0698e73-4292-4a5b-8f43-42670627e8bb,S2A_MSIL2A_20241031T045941_N0511_R119_T44PLV_20241031T090153.SAFE,T44PLV,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-05T04:59:09.024000Z,1e889314-5aab-4145-96e8-21247876b144,S2B_MSIL2A_20241105T045909_N0511_R119_T44PLV_20241105T072318.SAFE,T44PLV,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0046,11.17264,79.26752,2024-11-10,MEDIUM,Tree cover,8.09,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-05T04:59:09.024000Z,a22e924b-3544-4afa-8918-c011b4a2e8d1,S2B_MSIL2A_20241105T045909_N0511_R119_T44PLT_20241105T072318.SAFE,T44PLT,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,MISSING_PRODUCT,No usable post-event product was matched in Step 1 catalogue search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0017,13.39262,80.10134,2024-11-05,MEDIUM,Shrubland,1.09,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-31T04:59:41.024000Z,d0698e73-4292-4a5b-8f43-42670627e8bb,S2A_MSIL2A_20241031T045941_N0511_R119_T44PLV_20241031T090153.SAFE,T44PLV,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-10T05:00:31.024000Z,19b7ea29-4766-4adf-b72a-c63aba91de5a,S2A_MSIL2A_20241110T050031_N0511_R119_T44PMV_20241110T082750.SAFE,T44PMV,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0038,12.79986,77.9681,2024-11-09,LOW,Cropland,2.37,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-08T05:09:29.024000Z,bfb0f664-5e94-4009-a120-34ec67cffdd4,S2B_MSIL2A_20241108T050929_N0511_R019_T43PHQ_20241108T073629.SAFE,T43PHQ,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,MISSING_PRODUCT,No usable post-event product was matched in Step 1 catalogue search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
FIRMS_TN_0002,10.26853,78.83812,2024-11-03,LOW,Shrubland,2.77,AUTH_REQUIRED,False,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-10-29T05:08:39.024000Z,7f584f92-5cfe-4b10-8ad8-759b3d920ef6,S2B_MSIL2A_20241029T050839_N0511_R019_T44PKS_20241029T073358.SAFE,T44PKS,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,2024-11-05T04:59:09.024000Z,63040e56-a51e-4b54-9953-f8f0cec46b14,S2B_MSIL2A_20241105T045909_N0511_R119_T44PKS_20241105T072318.SAFE,T44PKS,AUTH_REQUIRED,CDSE OAuth2 credentials (CDSE_CLIENT_ID / CDSE_CLIENT_SECRET) not configured.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INVALID_INPUT,Both pre_features and post_features are None.,,,,,,,,,,,,,,,,
